final_decision,title,salary_text,employer,location,posted_date,closing_date,classification,classification_reason,jobg8_check,jobg8_candidate_title,jobg8_candidate_employer,jobg8_match_score,employment_type,ontap_region,geo_cluster,geography_status,geography_reason,geography_lookup_key,slice_status,publish_eligible,source_job_id,source_url,manual_action,migration_status,factual_fingerprint,discovery_routes,source
SELECTED,Attendance Administrator,"£26,824.00 - £29,065.00 Annually (FTE) Support Staff NJC grade 6, SCP 8-13. 30 hours per week/38 weeks per year. Actual annual salary in the region of £18,235.86 - £19,759.37",Faringdon Community College,"Faringdon, South East, SN7 7LB",2026-08-24,2026-09-14T12:00:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['PART_TIME'],Oxfordshire,Oxfordshire,ROUTED,Exact postcode match in geo_lookup.xlsx,sn7 7lb,LIVE,YES,attendance-administrator-faringdon-community-college,https://teaching-vacancies.service.gov.uk/jobs/attendance-administrator-faringdon-community-college,,,c84234c07a4c867af718e19687d7a3687fc550714654e60f0af1a6edabb2d781,"[{""page"": 48, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 11, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Educational Visits Administrator,"£26,824.00 - £29,065.00 Annually (FTE) Support Staff NJC grade 6, SCP 8-13. 30 hours per week/38 weeks per year. Actual annual salary in the region of £18,235.86 - £19,759.37",Faringdon Community College,"Faringdon, South East, SN7 7LB",2026-08-03,2026-09-02T12:00:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['PART_TIME'],Oxfordshire,Oxfordshire,ROUTED,Exact postcode match in geo_lookup.xlsx,sn7 7lb,LIVE,YES,educational-visits-administrator-faringdon-community-college-faringdon-oxfordshire,https://teaching-vacancies.service.gov.uk/jobs/educational-visits-administrator-faringdon-community-college-faringdon-oxfordshire,,,1536b7c65ef7138e688413e80eb8234b0339f2bbba3384bbfb2ddc81f790c83f,"[{""page"": 22, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 6, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Grade 6 Office Administrator,"£26,824.00 - £29,064.00 Annually (FTE) Grade 6 Actual Annual Salary £23,940",St Philip and James' Church of England Aided Primary School Oxford,"Oxford, South East, OX2 6AB",2026-08-27,2026-09-14T12:00:00+01:00,HC,"Clear admin/service title: administrator, office administrator",No plausible JobG8 match,,,,['FULL_TIME'],Oxfordshire,Oxfordshire,ROUTED,Exact locality match in geo_lookup.xlsx,oxford,LIVE,YES,grade-6-office-administrator-3e4de74e-af8a-4ee3-b949-0a2e141ed8ab,https://teaching-vacancies.service.gov.uk/jobs/grade-6-office-administrator-3e4de74e-af8a-4ee3-b949-0a2e141ed8ab,,,af07c6e2ea149f4b4ad119cb9a7c6c065bf1cc9a4758fbe52b95b3996f0be647,"[{""page"": 48, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 11, ""query"": ""administrator"", ""route"": ""keyword:administrator""}, {""page"": 4, ""query"": ""office"", ""route"": ""keyword:office""}]",Teaching Vacancies
SELECTED,Inclusion Administrator,"£26,824.00 - £29,065.00 Annually (FTE) Support Staff NJC grade 6, SCP 8-13. 30 hours per week/38 weeks per year. Actual annual salary in the region of £18,235.86 - £19,759.37",Faringdon Community College,"Faringdon, South East, SN7 7LB",2026-08-03,2026-09-02T12:00:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['PART_TIME'],Oxfordshire,Oxfordshire,ROUTED,Exact postcode match in geo_lookup.xlsx,sn7 7lb,LIVE,YES,inclusion-administrator-640b849f-52fe-4514-87fa-cda0310e4990,https://teaching-vacancies.service.gov.uk/jobs/inclusion-administrator-640b849f-52fe-4514-87fa-cda0310e4990,,,2c7df1f2e68fbdbcf6ffbf249283183c300f25bed97000f60dcd61ff561366ea,"[{""page"": 21, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 6, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Reception & Administrative Assistant,"£12,219.17 - £13,326.70 Annually (Actual) Grade 6 - Working a Wednesday, Thursday and Friday 8.30-15.30 (with a 30 min break)",Meadowbrook College,"Oxford, South East, OX3 0PG",2026-07-07,2026-09-01T08:00:00+01:00,HC,Clear admin/service title: administrative assistant,No plausible JobG8 match,,,,['PART_TIME'],Oxfordshire,Oxfordshire,ROUTED,Exact locality match in geo_lookup.xlsx,oxford,LIVE,YES,reception-administrative-assistant-93d935ac-3894-44fe-84cc-ea67bd3c9571,https://teaching-vacancies.service.gov.uk/jobs/reception-administrative-assistant-93d935ac-3894-44fe-84cc-ea67bd3c9571,,,a17f33fa54a14a48f4b660265ba9bfbf537f47efe0b2898537e9091ba3e53d0d,"[{""page"": 13, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 14, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 1, ""query"": ""administrative"", ""route"": ""keyword:administrative""}]",Teaching Vacancies
SELECTED,Receptionist - part time considered,"£23,620.60 - £25,593.97 Annually (Actual) Grade 6 term time + 2 weeks £23620.20 - 25593.97 (FTE £26824 - £29065)",Gosford Hill School,"Kidlington, South East, OX5 2NT",2026-07-17,2026-08-30T23:59:00+01:00,HC,Clear admin/service title: receptionist,No plausible JobG8 match,,,,"['FULL_TIME', 'PART_TIME']",Oxfordshire,Oxfordshire,ROUTED,Exact locality match in geo_lookup.xlsx,kidlington,LIVE,YES,receptionist-part-time-considered,https://teaching-vacancies.service.gov.uk/jobs/receptionist-part-time-considered,,,09b808bf4d3e947b22f599c154eb5e428b5c5eb38e5c1d6d4f20758b12c61de3,"[{""page"": 4, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 1, ""query"": ""receptionist"", ""route"": ""keyword:receptionist""}]",Teaching Vacancies
SELECTED,School Administrator,"£26,824.00 - £29,064.00 Annually (FTE) Paid pro rata. Actual salary £12157",Carterton Primary School,"Carterton, South East, OX18 3AD",2026-07-01,2026-09-02T23:59:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['PART_TIME'],Oxfordshire,Oxfordshire,ROUTED,Exact postcode match in geo_lookup.xlsx,ox18 3ad,LIVE,YES,school-administrator-4e6e25cf-c80f-4e62-864c-657610d00946,https://teaching-vacancies.service.gov.uk/jobs/school-administrator-4e6e25cf-c80f-4e62-864c-657610d00946,,,6445e1bb793b17257cb24de3dadf596f223fd1913f35ece33bb72ca2ee15e2e3,"[{""page"": 22, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 6, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Sixth Form Administrator / Team Leader,"£28,140.00 Annually (Actual) Actual salary based on 37 hours per week, term time plus 2 weeks work in the summer holidays. The full-time equivalent salary is £31,537 to £34,434 per annum",Lord Williams's School,"Thame, South East, OX9 2AQ",2026-08-18,2026-09-04T09:00:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,"['FULL_TIME', 'PART_TIME']",Oxfordshire,Oxfordshire,ROUTED,Exact locality match in geo_lookup.xlsx,thame,LIVE,YES,sixth-form-administrator-team-leader,https://teaching-vacancies.service.gov.uk/jobs/sixth-form-administrator-team-leader,,,39675ab49f458edabeb9d2bfd1783934384eb4475953fdd18eb571a7df31d65b,"[{""page"": 26, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 7, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
POSS,Office Administrator,"£26,824.00 Annually (FTE) Actual annual salary is £12,016 for 19.5 hours per week term time only plus 3 inset days",Barton Park Primary School,"Oxford, South East, OX3 9WN",2026-08-14,2026-09-04T12:00:00+01:00,POSS,Possible JobG8 duplicate requires review,POSSIBLE_DUPLICATE,Office Administrator,Planet Recruitment,0.714,['PART_TIME'],Oxfordshire,Oxfordshire,ROUTED,Exact locality match in geo_lookup.xlsx,oxford,LIVE,YES,office-administrator-barton-park-primary-school,https://teaching-vacancies.service.gov.uk/jobs/office-administrator-barton-park-primary-school,,,6507fa5e4ea1f71f1a1f76eff33fba35fcf567d0ef52f77cff9d377bc363b4da,"[{""page"": 29, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 7, ""query"": ""administrator"", ""route"": ""keyword:administrator""}, {""page"": 2, ""query"": ""office"", ""route"": ""keyword:office""}]",Teaching Vacancies
POSS,Receptionist,"£25,185.00 - £25,584.00 Annually (FTE) Support Staff NJC grade 4, SCP 4-5. 37 hours per week/38 weeks per year. Actual annual salary in the region of £21,116.65 - £21,451.20",Faringdon Community College,"Faringdon, South East, SN7 7LB",2026-07-15,2026-08-28T12:00:00+01:00,POSS,Possible JobG8 duplicate requires review,POSSIBLE_DUPLICATE,Receptionist,Hamberley Care Management Limited,0.743,['FULL_TIME'],Oxfordshire,Oxfordshire,ROUTED,Exact postcode match in geo_lookup.xlsx,sn7 7lb,LIVE,YES,receptionist-faringdon-community-college-faringdon-oxfordshire,https://teaching-vacancies.service.gov.uk/jobs/receptionist-faringdon-community-college-faringdon-oxfordshire,,,1112f08ada89de3e9857115888156174abb216efedb056c660f0368be2cd12bb,"[{""page"": 2, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 1, ""query"": ""receptionist"", ""route"": ""keyword:receptionist""}]",Teaching Vacancies
