final_decision,title,salary_text,employer,location,posted_date,closing_date,classification,classification_reason,jobg8_check,jobg8_candidate_title,jobg8_candidate_employer,jobg8_match_score,employment_type,ontap_region,geo_cluster,geography_status,geography_reason,geography_lookup_key,slice_status,publish_eligible,source_job_id,source_url,manual_action,migration_status,factual_fingerprint,discovery_routes,source
SELECTED,Educational Visits Administrator,"£26,824.00 - £29,065.00 Annually (FTE) Support Staff NJC grade 6, SCP 8-13. 30 hours per week/38 weeks per year. Actual annual salary in the region of £18,235.86 - £19,759.37",Faringdon Community College,"Faringdon, South East, SN7 7LB",2026-08-03,2026-09-02T12:00:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['PART_TIME'],Oxfordshire,Oxfordshire,ROUTED,Exact postcode match in geo_lookup.xlsx,sn7 7lb,UNREGISTERED,NO,educational-visits-administrator-faringdon-community-college-faringdon-oxfordshire,https://teaching-vacancies.service.gov.uk/jobs/educational-visits-administrator-faringdon-community-college-faringdon-oxfordshire,,,1536b7c65ef7138e688413e80eb8234b0339f2bbba3384bbfb2ddc81f790c83f,"[{""page"": 5, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 1, ""query"": ""administrator"", ""route"": ""keyword:administrator""}, {""page"": 2, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Inclusion Administrator,"£26,824.00 - £29,065.00 Annually (FTE) Support Staff NJC grade 6, SCP 8-13. 30 hours per week/38 weeks per year. Actual annual salary in the region of £18,235.86 - £19,759.37",Faringdon Community College,"Faringdon, South East, SN7 7LB",2026-08-03,2026-09-02T12:00:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['PART_TIME'],Oxfordshire,Oxfordshire,ROUTED,Exact postcode match in geo_lookup.xlsx,sn7 7lb,UNREGISTERED,NO,inclusion-administrator-640b849f-52fe-4514-87fa-cda0310e4990,https://teaching-vacancies.service.gov.uk/jobs/inclusion-administrator-640b849f-52fe-4514-87fa-cda0310e4990,,,2c7df1f2e68fbdbcf6ffbf249283183c300f25bed97000f60dcd61ff561366ea,"[{""page"": 5, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 2, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Reception & Administrative Assistant,"£12,219.17 - £13,326.70 Annually (Actual) Grade 6 - Working a Wednesday, Thursday and Friday 8.30-15.30 (with a 30 min break)",Meadowbrook College,"Oxford, South East, OX3 0PG",2026-07-07,2026-09-01T08:00:00+01:00,HC,Clear admin/service title: administrative assistant,No plausible JobG8 match,,,,['PART_TIME'],Oxfordshire,Oxfordshire,ROUTED,Exact locality match in geo_lookup.xlsx,oxford,UNREGISTERED,NO,reception-administrative-assistant-93d935ac-3894-44fe-84cc-ea67bd3c9571,https://teaching-vacancies.service.gov.uk/jobs/reception-administrative-assistant-93d935ac-3894-44fe-84cc-ea67bd3c9571,,,a17f33fa54a14a48f4b660265ba9bfbf537f47efe0b2898537e9091ba3e53d0d,"[{""page"": 49, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 3, ""query"": ""administrative"", ""route"": ""keyword:administrative""}]",Teaching Vacancies
SELECTED,Receptionist,"£25,185.00 - £25,584.00 Annually (FTE) Support Staff NJC grade 4, SCP 4-5. 37 hours per week/38 weeks per year. Actual annual salary in the region of £21,116.65 - £21,451.20",Faringdon Community College,"Faringdon, South East, SN7 7LB",2026-07-15,2026-08-28T12:00:00+01:00,HC,Clear admin/service title: receptionist,No plausible JobG8 match,,,,['FULL_TIME'],Oxfordshire,Oxfordshire,ROUTED,Exact postcode match in geo_lookup.xlsx,sn7 7lb,UNREGISTERED,NO,receptionist-faringdon-community-college-faringdon-oxfordshire,https://teaching-vacancies.service.gov.uk/jobs/receptionist-faringdon-community-college-faringdon-oxfordshire,,,1112f08ada89de3e9857115888156174abb216efedb056c660f0368be2cd12bb,"[{""page"": 42, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 4, ""query"": ""receptionist"", ""route"": ""keyword:receptionist""}]",Teaching Vacancies
SELECTED,Receptionist - part time considered,"£23,620.60 - £25,593.97 Annually (Actual) Grade 6 term time + 2 weeks £23620.20 - 25593.97 (FTE £26824 - £29065)",Gosford Hill School,"Kidlington, South East, OX5 2NT",2026-07-17,2026-08-30T23:59:00+01:00,HC,Clear admin/service title: receptionist,No plausible JobG8 match,,,,"['FULL_TIME', 'PART_TIME']",Oxfordshire,Oxfordshire,ROUTED,Exact locality match in geo_lookup.xlsx,kidlington,UNREGISTERED,NO,receptionist-part-time-considered,https://teaching-vacancies.service.gov.uk/jobs/receptionist-part-time-considered,,,09b808bf4d3e947b22f599c154eb5e428b5c5eb38e5c1d6d4f20758b12c61de3,"[{""page"": 35, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 3, ""query"": ""receptionist"", ""route"": ""keyword:receptionist""}]",Teaching Vacancies
SELECTED,School Administrator,"£26,824.00 - £29,064.00 Annually (FTE) Paid pro rata. Actual salary £12157",Carterton Primary School,"Carterton, South East, OX18 3AD",2026-07-01,2026-09-02T23:59:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['PART_TIME'],Oxfordshire,Oxfordshire,ROUTED,Exact postcode match in geo_lookup.xlsx,ox18 3ad,UNREGISTERED,NO,school-administrator-4e6e25cf-c80f-4e62-864c-657610d00946,https://teaching-vacancies.service.gov.uk/jobs/school-administrator-4e6e25cf-c80f-4e62-864c-657610d00946,,,6445e1bb793b17257cb24de3dadf596f223fd1913f35ece33bb72ca2ee15e2e3,"[{""page"": 51, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 12, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,School Office Receptionist & Administrative Assistant,"£21,548.00 Annually (Actual) Actual salary based on 37 hours per week, term-time only. The full-time equivalent salary is £25,583 - £26,403.",Lord Williams's School,"Thame, South East, OX9 2AQ",2026-07-20,2026-09-01T09:00:00+01:00,HC,"Clear admin/service title: administrative assistant, receptionist",No plausible JobG8 match,,,,['FULL_TIME'],Oxfordshire,Oxfordshire,ROUTED,Exact locality match in geo_lookup.xlsx,thame,UNREGISTERED,NO,school-office-receptionist-administrative-assistant,https://teaching-vacancies.service.gov.uk/jobs/school-office-receptionist-administrative-assistant,,,586878ca5a5277371a10d06c168fbb91fd42e461b72bb26f75604a4aca08ab3c,"[{""page"": 30, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 2, ""query"": ""administrative"", ""route"": ""keyword:administrative""}, {""page"": 2, ""query"": ""office"", ""route"": ""keyword:office""}, {""page"": 3, ""query"": ""receptionist"", ""route"": ""keyword:receptionist""}]",Teaching Vacancies
HARD_PASS,Admin and Premises Assistant,"£25,185.00 - £25,584.00 Annually (FTE)",Drayton Community Primary School,"Abingdon, South East, OX14 4JF",2026-07-30,2026-09-01T12:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['PART_TIME'],Oxfordshire,Oxfordshire,ROUTED,Exact locality match in geo_lookup.xlsx,abingdon,UNREGISTERED,NO,admin-and-premises-assistant-9d6fefc7-aa4d-4843-a7f1-fb8860efc481,https://teaching-vacancies.service.gov.uk/jobs/admin-and-premises-assistant-9d6fefc7-aa4d-4843-a7f1-fb8860efc481,,,d7dd83513b2d5a8619dbadc6d811188fa79640dd4552aa22969b990233b44b39,"[{""page"": 10, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Admissions Manager,"£31,537.00 - £34,434.00 Annually (FTE) Actual Starting Salary £22,816 based on 30 hrs per week, term time plus 2 weeks",Lord Williams's School,"Thame, South East, OX9 2AQ",2026-07-15,2026-09-04T09:00:00+01:00,HARD_PASS,"Manager title salary ceiling £34,434 is not below £28,000",No plausible JobG8 match,,,,['PART_TIME'],Oxfordshire,Oxfordshire,ROUTED,Exact locality match in geo_lookup.xlsx,thame,UNREGISTERED,NO,admissions-manager-lord-williams-s-school,https://teaching-vacancies.service.gov.uk/jobs/admissions-manager-lord-williams-s-school,,,30d264d9342f2bdd742e2c1384d6a207ce237cf3e96cc91d3e7b560bcdb1b8ea,"[{""page"": 43, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Chief Financial Officer,"£63,576.00 - £65,857.00 Annually (Actual)",Lord Williams's School,"Thame, South East, OX9 2AQ",2026-07-15,2026-09-04T09:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,"['FULL_TIME', 'PART_TIME']",Oxfordshire,Oxfordshire,ROUTED,Exact locality match in geo_lookup.xlsx,thame,UNREGISTERED,NO,chief-financial-officer-lord-williams-s-school-thame-oxfordshire,https://teaching-vacancies.service.gov.uk/jobs/chief-financial-officer-lord-williams-s-school-thame-oxfordshire,,,871366325efb7659afd27b4a5d4f041040d69f3fd357f4e326d4623909d5298b,"[{""page"": 42, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
