final_decision,title,salary_text,employer,location,posted_date,closing_date,classification,classification_reason,jobg8_check,jobg8_candidate_title,jobg8_candidate_employer,jobg8_match_score,employment_type,ontap_region,geo_cluster,geography_status,geography_reason,geography_lookup_key,slice_status,publish_eligible,source_job_id,source_url,manual_action,migration_status,factual_fingerprint,discovery_routes,source
SELECTED,Administrative Assistant,"Grade 5 £25,989-£27,254 FTE Pay Award Pending",Brookhaven School,"Bury, North West, BL9 8LP",2026-09-09,2026-09-23T09:00:59+01:00,HC,Clear admin/service title: administrative assistant,No plausible JobG8 match,,,,['FULL_TIME'],Greater Manchester - North,Greater Manchester - North,ROUTED,Exact locality match in geo_lookup.xlsx,bury,UNREGISTERED,NO,administrative-assistant-brookhaven-school-bury-greater-manchester,https://teaching-vacancies.service.gov.uk/jobs/administrative-assistant-brookhaven-school-bury-greater-manchester,,,86b559588ca1447ef9e719cee46278c788003f0b0c017c62156b0c411ca32eaf,"[{""page"": 35, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 3, ""query"": ""administrative"", ""route"": ""keyword:administrative""}]",Teaching Vacancies
SELECTED,Attendance Officer,"£25,833.49 - £27,535.58 Annually (Actual) SCP 7-11 - £25,833.29 - £27,535.58 - FTE: £27,274.00 - £29,071.00 - 37 hours per week, 42 weeks per year",E-ACT the Oldham Academy North,"Oldham, North West, OL2 5BF",2026-09-08,2026-09-22T09:00:00+01:00,HC,Clear admin/service title: attendance officer,No plausible JobG8 match,,,,['FULL_TIME'],Greater Manchester - North,Greater Manchester - North,ROUTED,Exact locality match in geo_lookup.xlsx,oldham,UNREGISTERED,NO,attendance-officer-b2687496-661e-4f75-90a0-78b384aebb39,https://teaching-vacancies.service.gov.uk/jobs/attendance-officer-b2687496-661e-4f75-90a0-78b384aebb39,,,d464dbee93d58fa6d1a919ecf956ede26cb7733336e49ba563b79c85ad5d5aff,"[{""page"": 33, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
SELECTED,Business Support Officer - Data and Assessments,"£26,824.00 to £28,142.00 per annum (pro rata £23,663.85 to £24,826.57 per annum)",Oulder Hill Leadership Academy,"Rochdale, North West, OL11 5EF",2026-08-21,2026-09-13T23:59:00+01:00,HC,Clear admin/service title: business support officer,No plausible JobG8 match,,,,['FULL_TIME'],Greater Manchester - North,Greater Manchester - North,ROUTED,Exact locality match in geo_lookup.xlsx,rochdale,UNREGISTERED,NO,business-support-officer-data-and-assessments-oulder-hill-leadership-academy,https://teaching-vacancies.service.gov.uk/jobs/business-support-officer-data-and-assessments-oulder-hill-leadership-academy,,,257eff66bd80df4d4ba9846cbeee3a187cd43d817bdf5e0d6b9f7683e2863294,"[{""page"": 5, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
SELECTED,SEND Administrator,"£23,612.57 - £25,982.89 Annually (Actual) SCP6-12 - £23,612.57 - £25,982.89 - FTE: £26,847.00 - £29,542.00 - 37 hours per week, 39 weeks per year.",E-ACT the Oldham Academy North,"Oldham, North West, OL2 5BF",2026-09-08,2026-09-21T09:00:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['FULL_TIME'],Greater Manchester - North,Greater Manchester - North,ROUTED,Exact locality match in geo_lookup.xlsx,oldham,UNREGISTERED,NO,send-administrator-e-act-the-oldham-academy-north,https://teaching-vacancies.service.gov.uk/jobs/send-administrator-e-act-the-oldham-academy-north,,,e6cd8f2f95ce2aa84ef572ba21a267594c36ac4f21ef0d23a754cae5c4398fa0,"[{""page"": 29, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 5, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
POSS,Administrative Support Officer,"£29,542.00 - £32,046.00 Annually (FTE) Points 12 - 17 of the School Support Staff pay spine, currently £29,542 to £32,046 per annum (actual term time salary £26,372 - £28,607 per annum)",The Hathershaw College,"Oldham, North West, OL8 3EP",2026-09-04,2026-09-21T09:00:00+01:00,POSS,Administrative duties evidenced in description,No plausible JobG8 match,,,,['FULL_TIME'],Greater Manchester - North,Greater Manchester - North,ROUTED,Exact locality match in geo_lookup.xlsx,oldham,UNREGISTERED,NO,administrative-support-officer-the-hathershaw-college,https://teaching-vacancies.service.gov.uk/jobs/administrative-support-officer-the-hathershaw-college,,,73f20b03bcc68f0d4fa62e3d8b5671bcdce3171fd4007907557f4763ae881fbc,"[{""page"": 25, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 3, ""query"": ""administrative"", ""route"": ""keyword:administrative""}]",Teaching Vacancies
HARD_PASS,Administration Officer with responsibility for First Aid,"£32,061 - £33,699",Hollingworth Academy,"Rochdale, North West, OL16 3DR",2026-09-07,2026-09-21T09:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['PART_TIME'],Greater Manchester - North,Greater Manchester - North,ROUTED,Exact locality match in geo_lookup.xlsx,rochdale,UNREGISTERED,NO,administration-officer-with-responsibility-for-first-aid,https://teaching-vacancies.service.gov.uk/jobs/administration-officer-with-responsibility-for-first-aid,,,f55a34a8840d00e97bb246752446ef4e17a222056e847e89aa2ab95fed8bffdf,"[{""page"": 26, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Attendance Support Officer,"Grade 4, scp 7-11 £22,911 - £24,420 (£26,403-£28,142 FTE)","St Gabriel's RC High School, a Voluntary Academy","Bury, North West, BL9 0TZ",2026-08-20,2026-09-11T23:59:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,"['FULL_TIME', 'TEMPORARY']",Greater Manchester - North,Greater Manchester - North,ROUTED,Exact locality match in geo_lookup.xlsx,bury,UNREGISTERED,NO,attendance-support-officer-st-gabriel-s-rc-high-school-a-voluntary-academy,https://teaching-vacancies.service.gov.uk/jobs/attendance-support-officer-st-gabriel-s-rc-high-school-a-voluntary-academy,,,f109cdcfbd5dffa499a04f28d536a2e598795cbc8a02f682b136ca1bed56eaae,"[{""page"": 2, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Exam Invigilator,,Hollingworth Academy,"Rochdale, North West, OL16 3DR",2026-09-07,2026-09-18T09:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['PART_TIME'],Greater Manchester - North,Greater Manchester - North,ROUTED,Exact locality match in geo_lookup.xlsx,rochdale,UNREGISTERED,NO,exam-invigilator-hollingworth-academy,https://teaching-vacancies.service.gov.uk/jobs/exam-invigilator-hollingworth-academy,,,d91ad9e9e154a7ebc5561f5bf8099c26bb5b891ff2eabcad471c181be5c4d5aa,"[{""page"": 17, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Office Manager,"£42,123.00 - £44,253.00 Annually (FTE) Points 30 - 32 of the School Support Staff pay spine, currently £42,123- £44,253 per annum",The Hathershaw College,"Oldham, North West, OL8 3EP",2026-09-04,2026-09-21T09:00:00+01:00,HARD_PASS,"Manager title salary ceiling £44,253 is not below £28,000",No plausible JobG8 match,,,,['FULL_TIME'],Greater Manchester - North,Greater Manchester - North,ROUTED,Exact locality match in geo_lookup.xlsx,oldham,UNREGISTERED,NO,office-manager-the-hathershaw-college,https://teaching-vacancies.service.gov.uk/jobs/office-manager-the-hathershaw-college,,,6b1c4471625cac5ca4db222329f85114efb5c09f5d5ad12160c33d56cc2ed990,"[{""page"": 25, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 3, ""query"": ""office"", ""route"": ""keyword:office""}]",Teaching Vacancies
HARD_PASS,School Office Manager,"£29,248.11-£32,305.11","St Joseph's Roman Catholic Primary School Rochdale, a Voluntary Academy","Heywood, North West, OL10 2AA",2026-09-07,2026-09-21T23:59:00+01:00,HARD_PASS,"Manager title salary ceiling £32,305 is not below £28,000",No plausible JobG8 match,,,,['FULL_TIME'],Greater Manchester - North,Greater Manchester - North,ROUTED,Exact locality match in geo_lookup.xlsx,heywood,UNREGISTERED,NO,school-office-manager-st-joseph-s-roman-catholic-primary-school-rochdale-a-voluntary-academy,https://teaching-vacancies.service.gov.uk/jobs/school-office-manager-st-joseph-s-roman-catholic-primary-school-rochdale-a-voluntary-academy,,,afe7fca1e81f8a5f909d5bcd4f6b404268a705bbce71a4aa0a9db46167ccdb46,"[{""page"": 32, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 3, ""query"": ""office"", ""route"": ""keyword:office""}]",Teaching Vacancies
