date,job_id,title,company,raw_area,raw_location,geo_source,category,source_file,unknown_reason
2026-08-01,5147b38b-5c8c-4ae3-b9e9-0ca76544741b,Site Administrator,Pontoon,Aberfeldy,Perthshire,unknown,admin_service,2026-08-01.xlsx,area_not_found_in_geo_lookup
2026-08-01,4a28c277-bce9-4aa1-9ac1-6953f248f19c,Recruitment Administrator,Pertemps Scotland Temps,Gourock,Renfrewshire,unknown,admin_service,2026-08-01.xlsx,area_not_found_in_geo_lookup
2026-08-01,107648872,Administration Assistant,Brightwork Ltd,Keith,Banffshire,unknown,admin_service,2026-08-01.xlsx,area_not_found_in_geo_lookup
2026-08-01,1573016,Finance Administrator,Not For Profit People,Not Specified,Not Specified,unknown,admin_service,2026-08-01.xlsx,area_unusable_and_location_not_auto_fallback
2026-08-01,1599044,Senior Administrator,Victim Support,Not Specified,Not Specified,unknown,admin_service,2026-08-01.xlsx,area_unusable_and_location_not_auto_fallback
2026-08-02,5147b38b-5c8c-4ae3-b9e9-0ca76544741b,Site Administrator,Pontoon,Aberfeldy,Perthshire,unknown,admin_service,2026-08-02.xlsx,area_not_found_in_geo_lookup
2026-08-02,4a28c277-bce9-4aa1-9ac1-6953f248f19c,Recruitment Administrator,Pertemps Scotland Temps,Gourock,Renfrewshire,unknown,admin_service,2026-08-02.xlsx,area_not_found_in_geo_lookup
2026-08-02,107648872,Administration Assistant,Brightwork Ltd,Keith,Banffshire,unknown,admin_service,2026-08-02.xlsx,area_not_found_in_geo_lookup
2026-08-02,1573016,Finance Administrator,Not For Profit People,Not Specified,Not Specified,unknown,admin_service,2026-08-02.xlsx,area_unusable_and_location_not_auto_fallback
2026-08-02,1599044,Senior Administrator,Victim Support,Not Specified,Not Specified,unknown,admin_service,2026-08-02.xlsx,area_unusable_and_location_not_auto_fallback
2026-08-03,5147b38b-5c8c-4ae3-b9e9-0ca76544741b,Site Administrator,Pontoon,Aberfeldy,Perthshire,unknown,admin_service,2026-08-03.xlsx,area_not_found_in_geo_lookup
2026-08-03,4a28c277-bce9-4aa1-9ac1-6953f248f19c,Recruitment Administrator,Pertemps Scotland Temps,Gourock,Renfrewshire,unknown,admin_service,2026-08-03.xlsx,area_not_found_in_geo_lookup
2026-08-03,107648872,Administration Assistant,Brightwork Ltd,Keith,Banffshire,unknown,admin_service,2026-08-03.xlsx,area_not_found_in_geo_lookup
2026-08-03,1573016,Finance Administrator,Not For Profit People,Not Specified,Not Specified,unknown,admin_service,2026-08-03.xlsx,area_unusable_and_location_not_auto_fallback
2026-08-04,5147b38b-5c8c-4ae3-b9e9-0ca76544741b,Site Administrator,Pontoon,Aberfeldy,Perthshire,unknown,admin_service,2026-08-04.xlsx,area_not_found_in_geo_lookup
2026-08-04,4a28c277-bce9-4aa1-9ac1-6953f248f19c,Recruitment Administrator,Pertemps Scotland Temps,Gourock,Renfrewshire,unknown,admin_service,2026-08-04.xlsx,area_not_found_in_geo_lookup
2026-08-04,107648872,Administration Assistant,Brightwork Ltd,Keith,Banffshire,unknown,admin_service,2026-08-04.xlsx,area_not_found_in_geo_lookup
2026-08-04,2047434,Clerical Officer,Apple Recruitment,Not Specified,Not Specified,unknown,admin_service,2026-08-04.xlsx,area_unusable_and_location_not_auto_fallback
