month,date,region,region_scope,category,daily_job_count
2026-08,2026-08-01,Bedfordshire,lookup_region,admin_service,1
2026-08,2026-08-02,Bedfordshire,lookup_region,admin_service,1
2026-08,2026-08-03,Bedfordshire,lookup_region,admin_service,1
2026-08,2026-08-04,Bedfordshire,lookup_region,admin_service,1
2026-08,2026-08-05,Bedfordshire,lookup_region,admin_service,0
2026-08,2026-08-06,Bedfordshire,lookup_region,admin_service,0
2026-08,2026-08-07,Bedfordshire,lookup_region,admin_service,0
2026-08,2026-08-08,Bedfordshire,lookup_region,admin_service,0
2026-08,2026-08-09,Bedfordshire,lookup_region,admin_service,0
2026-08,2026-08-10,Bedfordshire,lookup_region,admin_service,0
2026-08,2026-08-11,Bedfordshire,lookup_region,admin_service,0
2026-08,2026-08-12,Bedfordshire,lookup_region,admin_service,0
2026-08,2026-08-01,Berkshire,lookup_region,admin_service,1
2026-08,2026-08-02,Berkshire,lookup_region,admin_service,1
2026-08,2026-08-03,Berkshire,lookup_region,admin_service,1
2026-08,2026-08-04,Berkshire,lookup_region,admin_service,2
2026-08,2026-08-05,Berkshire,lookup_region,admin_service,2
2026-08,2026-08-06,Berkshire,lookup_region,admin_service,2
2026-08,2026-08-07,Berkshire,lookup_region,admin_service,1
2026-08,2026-08-08,Berkshire,lookup_region,admin_service,1
2026-08,2026-08-09,Berkshire,lookup_region,admin_service,1
2026-08,2026-08-10,Berkshire,lookup_region,admin_service,1
2026-08,2026-08-11,Berkshire,lookup_region,admin_service,8
2026-08,2026-08-12,Berkshire,lookup_region,admin_service,8
2026-08,2026-08-01,Bristol & Bath,lookup_region,admin_service,0
2026-08,2026-08-02,Bristol & Bath,lookup_region,admin_service,0
2026-08,2026-08-03,Bristol & Bath,lookup_region,admin_service,0
2026-08,2026-08-04,Bristol & Bath,lookup_region,admin_service,0
2026-08,2026-08-05,Bristol & Bath,lookup_region,admin_service,1
2026-08,2026-08-06,Bristol & Bath,lookup_region,admin_service,1
2026-08,2026-08-07,Bristol & Bath,lookup_region,admin_service,2
2026-08,2026-08-08,Bristol & Bath,lookup_region,admin_service,2
2026-08,2026-08-09,Bristol & Bath,lookup_region,admin_service,2
2026-08,2026-08-10,Bristol & Bath,lookup_region,admin_service,2
2026-08,2026-08-11,Bristol & Bath,lookup_region,admin_service,15
2026-08,2026-08-12,Bristol & Bath,lookup_region,admin_service,14
2026-08,2026-08-01,Buckinghamshire,lookup_region,admin_service,1
2026-08,2026-08-02,Buckinghamshire,lookup_region,admin_service,1
2026-08,2026-08-03,Buckinghamshire,lookup_region,admin_service,1
2026-08,2026-08-04,Buckinghamshire,lookup_region,admin_service,1
2026-08,2026-08-05,Buckinghamshire,lookup_region,admin_service,2
2026-08,2026-08-06,Buckinghamshire,lookup_region,admin_service,2
2026-08,2026-08-07,Buckinghamshire,lookup_region,admin_service,4
2026-08,2026-08-08,Buckinghamshire,lookup_region,admin_service,4
2026-08,2026-08-09,Buckinghamshire,lookup_region,admin_service,4
2026-08,2026-08-10,Buckinghamshire,lookup_region,admin_service,4
2026-08,2026-08-11,Buckinghamshire,lookup_region,admin_service,8
2026-08,2026-08-12,Buckinghamshire,lookup_region,admin_service,8
2026-08,2026-08-01,Caerphilly,lookup_region,admin_service,1
2026-08,2026-08-02,Caerphilly,lookup_region,admin_service,1
2026-08,2026-08-03,Caerphilly,lookup_region,admin_service,1
2026-08,2026-08-04,Caerphilly,lookup_region,admin_service,1
2026-08,2026-08-05,Caerphilly,lookup_region,admin_service,1
2026-08,2026-08-06,Caerphilly,lookup_region,admin_service,1
2026-08,2026-08-07,Caerphilly,lookup_region,admin_service,1
2026-08,2026-08-08,Caerphilly,lookup_region,admin_service,1
2026-08,2026-08-09,Caerphilly,lookup_region,admin_service,1
2026-08,2026-08-10,Caerphilly,lookup_region,admin_service,1
2026-08,2026-08-11,Caerphilly,lookup_region,admin_service,1
2026-08,2026-08-12,Caerphilly,lookup_region,admin_service,1
2026-08,2026-08-01,Cambridgeshire,lookup_region,admin_service,0
2026-08,2026-08-02,Cambridgeshire,lookup_region,admin_service,0
2026-08,2026-08-03,Cambridgeshire,lookup_region,admin_service,0
2026-08,2026-08-04,Cambridgeshire,lookup_region,admin_service,0
2026-08,2026-08-05,Cambridgeshire,lookup_region,admin_service,0
2026-08,2026-08-06,Cambridgeshire,lookup_region,admin_service,0
2026-08,2026-08-07,Cambridgeshire,lookup_region,admin_service,0
2026-08,2026-08-08,Cambridgeshire,lookup_region,admin_service,0
2026-08,2026-08-09,Cambridgeshire,lookup_region,admin_service,0
2026-08,2026-08-10,Cambridgeshire,lookup_region,admin_service,0
2026-08,2026-08-11,Cambridgeshire,lookup_region,admin_service,10
2026-08,2026-08-12,Cambridgeshire,lookup_region,admin_service,11
2026-08,2026-08-01,Cheshire - East,lookup_region,admin_service,0
2026-08,2026-08-02,Cheshire - East,lookup_region,admin_service,0
2026-08,2026-08-03,Cheshire - East,lookup_region,admin_service,0
2026-08,2026-08-04,Cheshire - East,lookup_region,admin_service,0
2026-08,2026-08-05,Cheshire - East,lookup_region,admin_service,0
