title,classification,review_status,reason,count_in_feed,west_south_regions_seen,example_towns
Band 5 Complaints Administrator,ELASTIC_FIT,INITIAL_CLASSIFICATION_2026-06-17,Adjacent customer-service wording: complaints,1,,City (1)
Call Centre and Admin Assistant-,ELASTIC_FIT,INITIAL_CLASSIFICATION_2026-06-17,Adjacent customer-service wording: call centre,1,,Kingston Upon Thames (1)
Call Centre and Admin. Assistant,ELASTIC_FIT,INITIAL_CLASSIFICATION_2026-06-17,Adjacent customer-service wording: call centre,1,,Inverurie (1)
Client Services Administrator,ELASTIC_FIT,INITIAL_CLASSIFICATION_2026-06-17,"Adjacent customer-service wording: client service, client services",1,,Bristol (1)
Customer Care Administrator,ELASTIC_FIT,INITIAL_CLASSIFICATION_2026-06-17,Adjacent customer-service wording: customer care,1,,York (1)
Customer Service Admin,ELASTIC_FIT,INITIAL_CLASSIFICATION_2026-06-17,Adjacent customer-service wording: customer service,1,,Stockton-on-tees (1)
Customer Service Administrator,ELASTIC_FIT,INITIAL_CLASSIFICATION_2026-06-17,Adjacent customer-service wording: customer service,12,,Kingston Upon Thames (1); Sheffield (1); Trowbridge (1); Livingston (1); Huddersfield (1)
Customer Support Administrator,ELASTIC_FIT,INITIAL_CLASSIFICATION_2026-06-17,Adjacent customer-service wording: customer support,1,,Hook (1)
Helpdesk Administrator,ELASTIC_FIT,INITIAL_CLASSIFICATION_2026-06-17,Adjacent customer-service wording: helpdesk,1,,Bracknell (1)
Member Services Officer,ELASTIC_FIT,INITIAL_CLASSIFICATION_2026-06-17,Adjacent customer-service wording: member services,1,,Not Specified (1)
Office Administrator & Customer Service Specialist,ELASTIC_FIT,INITIAL_CLASSIFICATION_2026-06-17,Adjacent customer-service wording: customer service,1,,City (1)
Optical Assistant/ Call Centre Assistant,ELASTIC_FIT,INITIAL_CLASSIFICATION_2026-06-17,Adjacent customer-service wording: call centre,1,,Brighton (1)
Accounts Administrator,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,Adjacent service/admin wording: administrator,6,,Shrewsbury (1); Norwich (1); Beaconsfield (1); Barnet (1); Waltham Cross (1)
Accounts and Office Administrator,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,Adjacent service/admin wording: administrator,1,,Sevenoaks (1)
Accounts Purchasing & Administration Supervisor,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,Adjacent service/admin wording: administration,2,,Milton Keynes (2)
