market,likely_in,borderline,plausible_including_borderline,out_salary,out_specialist
Bedfordshire,2,0,2,0,0
Berkshire,0,0,0,0,0
Bristol & Bath,0,0,0,0,0
Buckinghamshire,0,0,0,0,0
Cambridgeshire,0,0,0,0,0
Cheshire - East,0,0,0,0,0
Cheshire - Warrington & Halton,1,0,1,0,0
Cheshire - West,1,0,1,0,0
Cornwall,0,0,0,0,0
Cumbria - North,0,0,0,0,0
Cumbria - South,0,0,0,0,0
Cumbria - West,0,0,0,0,0
Derbyshire,0,0,0,0,0
Devon,1,0,1,0,0
Dorset,0,0,0,0,0
Essex,2,0,2,0,0
Gloucestershire,0,0,0,0,0
Greater Manchester - Manchester & Salford,2,1,3,0,1
Greater Manchester - North,0,0,0,0,0
Greater Manchester - South,0,0,0,0,0
Greater Manchester - Wigan & Bolton,0,0,0,0,0
Hampshire,0,0,0,0,0
Herefordshire,0,0,0,0,0
Hertfordshire,1,0,1,0,0
Kent,0,0,0,0,0
Lancashire - Blackpool & Fylde,0,0,0,0,0
Lancashire - Central,0,0,0,0,0
Lancashire - East,0,0,0,0,0
Lancashire - North,0,0,0,0,0
Lancashire - West,0,0,0,0,0
Leicestershire,0,1,1,1,0
Lincolnshire,1,0,1,0,0
London,7,0,7,1,1
Merseyside - Liverpool,0,0,0,0,0
Merseyside - Sefton,0,0,0,0,0
Merseyside - St Helens & Knowsley,0,0,0,0,0
Merseyside - Wirral,0,0,0,0,0
Norfolk,0,0,0,0,0
North East,0,0,0,0,0
Northamptonshire,1,0,1,0,0
Nottinghamshire,1,0,1,0,0
Oxfordshire,0,0,0,0,0
Rutland,0,0,0,0,0
Shropshire,1,0,1,0,0
Somerset,0,0,0,0,0
Staffordshire,0,0,0,0,0
Suffolk,0,0,0,1,0
Surrey,2,0,2,0,0
Sussex,1,0,1,0,0
West Midlands - Birmingham & Solihull,1,0,1,0,0
West Midlands - Black Country,0,0,0,0,0
West Midlands - Coventry & Warwickshire,0,0,0,0,0
Wiltshire,0,0,0,0,0
Worcestershire,0,0,0,0,0
Yorkshire - East,0,0,0,0,0
Yorkshire - North,0,0,0,0,0
Yorkshire - South,3,0,3,0,3
Yorkshire - West,3,0,3,0,0
North Scotland,0,0,0,0,0
Scotland - Borders,0,0,0,0,0
Scotland Central - Edinburgh & Lothians,0,0,0,0,0
Scotland Central - Falkirk & Stirling,0,0,0,0,0
Scotland Central - Fife,0,0,0,0,0
Scotland Central - Tayside,1,0,1,0,0
Scotland West - Ayrshire,0,0,0,0,0
Scotland West - Glasgow,0,0,0,0,0
Scotland West - Lanarkshire,0,0,0,0,0
Scotland West - Renfrewshire & Inverclyde,0,0,0,0,0
North Wales - East,0,0,0,0,0
North Wales - West,0,0,0,0,0
Wales - Mid,0,0,0,0,0
Wales - West,0,0,0,0,0
Wales South - Cardiff & Vale,0,0,0,0,0
Wales South - Gwent,0,0,0,0,0
Wales South - Swansea Bay,0,0,0,0,0
Wales South - Valleys,0,0,0,0,0
Northern Ireland - East,1,0,1,0,0
Northern Ireland - West,0,0,0,0,0
