final_decision,title,salary_text,employer,location,posted_date,closing_date,classification,classification_reason,jobg8_check,jobg8_candidate_title,jobg8_candidate_employer,jobg8_match_score,employment_type,geography_status,geography_reason,source_job_id,source_url,manual_action,source
SELECTED,Administrative Assistant,"£22,218.00 - £22,927.00 Annua…",Pudsey Grammar School,"Pudsey, Yorkshire and the Humber, LS2…",2026-07-16,2026-08-14T08:00:00+01:00,HC,Clear admin/service title: administrative assistant,No plausible JobG8 match,,,,['FULL_TIME'],IN_SCOPE,West Yorkshire place marker,administrative-assistant-pudsey-grammar-school-pudsey-west-yorkshire,https://teaching-vacancies.service.gov.uk/jobs/administrative-assistant-pudsey-grammar-school-pudsey-west-yorkshire,,Teaching Vacancies GOV.UK
SELECTED,Exams Officer,"£28,262.00 - £30,199.00 Annua…",Newsome Academy,"Huddersfield, Yorkshire and the Humbe…",2026-07-14,2026-08-10T09:00:00+01:00,HC,Clear admin/service title: exams officer,No plausible JobG8 match,,,,['FULL_TIME'],IN_SCOPE,West Yorkshire place marker,exams-officer-newsome-academy-huddersfield-west-yorkshire,https://teaching-vacancies.service.gov.uk/jobs/exams-officer-newsome-academy-huddersfield-west-yorkshire,,Teaching Vacancies GOV.UK
SELECTED,Receptionist,"£20,971.00 - £21,300.00 pro r…",The King's School,"Pontefract, Yorkshire and the Humber,…",2026-07-31,2026-08-31T10:00:00+01:00,HC,Clear admin/service title: receptionist,No plausible JobG8 match,,,,['FULL_TIME'],IN_SCOPE,West Yorkshire place marker,receptionist-the-king-s-school-pontefract-west-yorkshire,https://teaching-vacancies.service.gov.uk/jobs/receptionist-the-king-s-school-pontefract-west-yorkshire,,Teaching Vacancies GOV.UK
SELECTED,Receptionist/Administrator,"£25,989.00 - £28,142.00 Annua…",Oastlers School,"Bradford, Yorkshire and the Humber, B…",2026-07-27,2026-08-31T23:59:00+01:00,HC,"Clear admin/service title: administrator, receptionist",No plausible JobG8 match,,,,['FULL_TIME'],IN_SCOPE,West Yorkshire place marker,receptionist-administrator-49a47934-628e-47bf-b7a9-6fe782d91f05,https://teaching-vacancies.service.gov.uk/jobs/receptionist-administrator-49a47934-628e-47bf-b7a9-6fe782d91f05,,Teaching Vacancies GOV.UK
SELECTED,School Office Administrator,"£21,196",Askwith Primary School,"Otley, Yorkshire and the Humber, LS21…",2026-07-28,2026-09-17T09:00:00+01:00,HC,"Clear admin/service title: administrator, office administrator",No plausible JobG8 match,,,,"['FULL_TIME', 'TEMPORARY']",IN_SCOPE,West Yorkshire place marker,school-office-administrator-askwith-primary-school,https://teaching-vacancies.service.gov.uk/jobs/school-office-administrator-askwith-primary-school,,Teaching Vacancies GOV.UK
SELECTED,School Receptionist,Grade: Level 1 A1/B1,Cross Gates Primary School,"Leeds, Yorkshire and the Humber, LS15…",2026-07-29,2026-08-24T09:00:00+01:00,HC,Clear admin/service title: receptionist,No plausible JobG8 match,,,,"['PART_TIME', 'TEMPORARY']",IN_SCOPE,West Yorkshire place marker,school-receptionist-cross-gates-primary-school,https://teaching-vacancies.service.gov.uk/jobs/school-receptionist-cross-gates-primary-school,,Teaching Vacancies GOV.UK
SELECTED,SEND & Exam Access Arrangements Administr…,"£24,939.00 - £29,387.00 Annua…",The North Halifax Grammar Sch…,"Halifax, Yorkshire and the Humber, HX…",2026-07-17,2026-09-03T12:00:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['FULL_TIME'],IN_SCOPE,West Yorkshire place marker,send-exam-access-arrangements-administrator,https://teaching-vacancies.service.gov.uk/jobs/send-exam-access-arrangements-administrator,,Teaching Vacancies GOV.UK
SELECTED,Senior Administrator,"£21,043.00 - £22,429.00 Annua…",Fountain Primary School,"Leeds, Yorkshire and the Humber, LS27…",2026-07-22,2026-09-14T09:00:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['FULL_TIME'],IN_SCOPE,West Yorkshire place marker,senior-administrator-fountain-primary-school-leeds-west-yorkshire,https://teaching-vacancies.service.gov.uk/jobs/senior-administrator-fountain-primary-school-leeds-west-yorkshire,,Teaching Vacancies GOV.UK
SELECTED,"Specialist Administrator (SEND, Medical,…","£28,142.00 Annually (FTE) Ban…",Parkside School,"Bradford, Yorkshire and the Humber, B…",2026-07-24,2026-08-31T23:59:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['FULL_TIME'],IN_SCOPE,West Yorkshire place marker,specialist-administrator-send-medical-lead-first-aid,https://teaching-vacancies.service.gov.uk/jobs/specialist-administrator-send-medical-lead-first-aid,,Teaching Vacancies GOV.UK
POSS,"Accomplish Hubs Business Manager, Castlef…","£35,412.00 - £38,220.00 Annua…",Accomplish Multi Academy Trus…,"Wakefield, WF2 0NP",2026-07-23,2026-08-20T23:59:00+01:00,POSS,Borderline school administration title: business manager,No plausible JobG8 match,,,,['FULL_TIME'],IN_SCOPE,West Yorkshire place marker,accomplish-hubs-business-manager-castleford-office-accomplish-multi-academy-trust-limited,https://teaching-vacancies.service.gov.uk/jobs/accomplish-hubs-business-manager-castleford-office-accomplish-multi-academy-trust-limited,,Teaching Vacancies GOV.UK
HARD_PASS,Administration Assistant and Receptionist,,King Edward VII School,"Sheffield, Yorkshire and the Humber,…",2026-07-16,2026-09-04T09:00:00+01:00,HARD_PASS,No West Yorkshire location evidence,No plausible JobG8 match,,,,"['FULL_TIME', 'PART_TIME']",HARD_PASS,No West Yorkshire location evidence,administration-assistant-and-receptionist-king-edward-vii-school-sheffield-south-yorkshire,https://teaching-vacancies.service.gov.uk/jobs/administration-assistant-and-receptionist-king-edward-vii-school-sheffield-south-yorkshire,,Teaching Vacancies GOV.UK
HARD_PASS,Administrative Assistant,"£25,621 per annum, Actual sal…","Harrogate, Grove Road Communi…","Harrogate, Yorkshire and the Humber,…",2026-07-27,2026-08-14T23:59:00+01:00,HARD_PASS,No West Yorkshire location evidence,No plausible JobG8 match,,,,"['FULL_TIME', 'TEMPORARY']",HARD_PASS,No West Yorkshire location evidence,administrative-assistant-harrogate-grove-road-community-primary-school-harrogate-north-yorkshire,https://teaching-vacancies.service.gov.uk/jobs/administrative-assistant-harrogate-grove-road-community-primary-school-harrogate-north-yorkshire,,Teaching Vacancies GOV.UK
HARD_PASS,Administrative Assistant,"£22,003.00 - £22,353.00 Annua…",Malin Bridge Primary School,"Sheffield, Yorkshire and the Humber,…",2026-07-22,2026-08-09T23:59:00+01:00,HARD_PASS,No West Yorkshire location evidence,No plausible JobG8 match,,,,['FULL_TIME'],HARD_PASS,No West Yorkshire location evidence,administrative-assistant-de44776f-dcb5-4d81-aa5e-7a81c54602f7,https://teaching-vacancies.service.gov.uk/jobs/administrative-assistant-de44776f-dcb5-4d81-aa5e-7a81c54602f7,,Teaching Vacancies GOV.UK
HARD_PASS,Attendance Administrator,"£22,812.00 - £24,315.00 Annua…",Kingsway Park High School,"Rochdale, North West, OL16 4XA",2026-07-21,2026-08-09T23:59:00+01:00,HARD_PASS,No West Yorkshire location evidence,No plausible JobG8 match,,,,['FULL_TIME'],HARD_PASS,No West Yorkshire location evidence,attendance-administrator-kingsway-park-high-school,https://teaching-vacancies.service.gov.uk/jobs/attendance-administrator-kingsway-park-high-school,,Teaching Vacancies GOV.UK
HARD_PASS,Exams & Cover Officer,"£29,405.00 - £33,629.43 Annua…",E-Act Parkwood Academy,"Sheffield, Yorkshire and the Humber,…",2026-07-09,2026-08-17T09:00:00+01:00,HARD_PASS,No West Yorkshire location evidence,No plausible JobG8 match,,,,['FULL_TIME'],HARD_PASS,No West Yorkshire location evidence,exams-cover-officer-e-act-parkwood-academy,https://teaching-vacancies.service.gov.uk/jobs/exams-cover-officer-e-act-parkwood-academy,,Teaching Vacancies GOV.UK
HARD_PASS,EXAMS OFFICER (WITH ADMISSIONS RESPONSIBI…,"Scale 3A (£32,597 FTE, ACTUAL…",All Hallows RC High School,"Salford, North West, M6 8AA",2026-07-15,2026-08-10T12:00:00+01:00,HARD_PASS,No West Yorkshire location evidence,No plausible JobG8 match,,,,['FULL_TIME'],HARD_PASS,No West Yorkshire location evidence,exams-officer-with-admissions-responsibilities,https://teaching-vacancies.service.gov.uk/jobs/exams-officer-with-admissions-responsibilities,,Teaching Vacancies GOV.UK
HARD_PASS,HR Administrator,"£15,638.00 - £16,885.00 Annua…",Parrs Wood High School,"Manchester, North West, M20 5PG",2026-07-20,2026-08-09T23:59:00+01:00,HARD_PASS,No West Yorkshire location evidence,No plausible JobG8 match,,,,['PART_TIME'],HARD_PASS,No West Yorkshire location evidence,hr-administrator-parrs-wood-high-school,https://teaching-vacancies.service.gov.uk/jobs/hr-administrator-parrs-wood-high-school,,Teaching Vacancies GOV.UK
HARD_PASS,HR Administrator,"£15,638.00 - £16,885.00 Annua…",Whalley Range 11-18 High Scho…,"Manchester, North West, M16 8GW",2026-07-20,2026-08-09T23:59:00+01:00,HARD_PASS,No West Yorkshire location evidence,No plausible JobG8 match,,,,['PART_TIME'],HARD_PASS,No West Yorkshire location evidence,hr-administrator-whalley-range-11-18-high-school,https://teaching-vacancies.service.gov.uk/jobs/hr-administrator-whalley-range-11-18-high-school,,Teaching Vacancies GOV.UK
HARD_PASS,Office Manager,"£33,699.00 - £39,153.00 Annua…",Doncaster UTC,"Doncaster, Yorkshire and the Humber,…",2026-07-17,2026-08-10T09:00:00+01:00,HARD_PASS,No West Yorkshire location evidence,No plausible JobG8 match,,,,['FULL_TIME'],HARD_PASS,No West Yorkshire location evidence,office-manager-doncaster-utc-doncaster,https://teaching-vacancies.service.gov.uk/jobs/office-manager-doncaster-utc-doncaster,,Teaching Vacancies GOV.UK
HARD_PASS,Office Manager,"£30,866.00 - £34,260.00 Annua…",Rivington and Blackrod High S…,"Bolton, North West, BL6 7RU",2026-07-29,2026-08-13T23:59:00+01:00,HARD_PASS,No West Yorkshire location evidence,No plausible JobG8 match,,,,['FULL_TIME'],HARD_PASS,No West Yorkshire location evidence,office-manager-rivington-and-blackrod-high-school-bolton-lancashire,https://teaching-vacancies.service.gov.uk/jobs/office-manager-rivington-and-blackrod-high-school-bolton-lancashire,,Teaching Vacancies GOV.UK
HARD_PASS,Pastoral Inclusion Administrator,"£26,403.00 and £28,598.00",Handsworth Grange Community S…,"Sheffield, Yorkshire and the Humber,…",2026-07-23,2026-08-11T09:00:00+01:00,HARD_PASS,No West Yorkshire location evidence,No plausible JobG8 match,,,,['FULL_TIME'],HARD_PASS,No West Yorkshire location evidence,pastoral-inclusion-administrator-handsworth-grange-community-sports-college,https://teaching-vacancies.service.gov.uk/jobs/pastoral-inclusion-administrator-handsworth-grange-community-sports-college,,Teaching Vacancies GOV.UK
HARD_PASS,Receptionist & Administrator,"£24,978.00 gross per annum",Sheffield Park Academy,"Sheffield, Yorkshire and the Humber,…",2026-07-22,2026-08-07T23:59:00+01:00,HARD_PASS,No West Yorkshire location evidence,No plausible JobG8 match,,,,['FULL_TIME'],HARD_PASS,No West Yorkshire location evidence,receptionist-administrator-sheffield-park-academy,https://teaching-vacancies.service.gov.uk/jobs/receptionist-administrator-sheffield-park-academy,,Teaching Vacancies GOV.UK
HARD_PASS,Receptionist & Administrator (42weeks),"£24,978.00 FTE gross per annu…",Sheffield Park Academy,"Sheffield, Yorkshire and the Humber,…",2026-07-29,2026-08-07T23:59:00+01:00,HARD_PASS,No West Yorkshire location evidence,No plausible JobG8 match,,,,['FULL_TIME'],HARD_PASS,No West Yorkshire location evidence,receptionist-administrator-42weeks,https://teaching-vacancies.service.gov.uk/jobs/receptionist-administrator-42weeks,,Teaching Vacancies GOV.UK
HARD_PASS,Receptionist Administrator,"£25,583 to £25,989",Chapeltown Academy,"Sheffield, Yorkshire and the Humber,…",2026-07-21,2026-08-14T09:00:00+01:00,HARD_PASS,No West Yorkshire location evidence,No plausible JobG8 match,,,,['FULL_TIME'],HARD_PASS,No West Yorkshire location evidence,receptionist-administrator-aacf2c27-b21f-4e85-9276-550afc946a66,https://teaching-vacancies.service.gov.uk/jobs/receptionist-administrator-aacf2c27-b21f-4e85-9276-550afc946a66,,Teaching Vacancies GOV.UK
HARD_PASS,SEND Administrative Assistant,"£26,403.00 - £28,598.00 Annua…",Westfield School,"Sheffield, Yorkshire and the Humber,…",2026-07-22,2026-08-31T23:59:00+01:00,HARD_PASS,No West Yorkshire location evidence,No plausible JobG8 match,,,,['FULL_TIME'],HARD_PASS,No West Yorkshire location evidence,send-administrative-assistant-westfield-school-sheffield,https://teaching-vacancies.service.gov.uk/jobs/send-administrative-assistant-westfield-school-sheffield,,Teaching Vacancies GOV.UK
HARD_PASS,SEND Administrator,"£23,199.00 - £23,315.00 Annua…",Aston Academy,"Sheffield, Yorkshire and the Humber,…",2026-07-10,2026-09-10T23:59:00+01:00,HARD_PASS,No West Yorkshire location evidence,No plausible JobG8 match,,,,['FULL_TIME'],HARD_PASS,No West Yorkshire location evidence,send-administrator-aston-academy-sheffield-south-yorkshire,https://teaching-vacancies.service.gov.uk/jobs/send-administrator-aston-academy-sheffield-south-yorkshire,,Teaching Vacancies GOV.UK
HARD_PASS,Senior Administrative Officer,"£25,446.00 - £27,611.00 Annua…",Manor Church of England Acade…,"York, Yorkshire and the Humber, YO26…",2026-07-15,2026-08-12T12:00:00+01:00,HARD_PASS,No West Yorkshire location evidence,No plausible JobG8 match,,,,['FULL_TIME'],HARD_PASS,No West Yorkshire location evidence,senior-administrative-officer-manor-church-of-england-academy,https://teaching-vacancies.service.gov.uk/jobs/senior-administrative-officer-manor-church-of-england-academy,,Teaching Vacancies GOV.UK
HARD_PASS,Sixth Form Supervisor and Administrator,"£32,536-£34,840","Archbishop Holgate's School,…","York, Yorkshire and the Humber, YO10…",2026-07-29,2026-08-18T08:00:00+01:00,HARD_PASS,No West Yorkshire location evidence,No plausible JobG8 match,,,,['FULL_TIME'],HARD_PASS,No West Yorkshire location evidence,sixth-form-supervisor-and-administrator,https://teaching-vacancies.service.gov.uk/jobs/sixth-form-supervisor-and-administrator,,Teaching Vacancies GOV.UK
