decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
include,nhs-5569602,Administrative assistant,Hall Green Health,"Birmingham, B28 8BG",NHS Jobs,include,include,Approved conservative Birmingham launch catchment.,birmingham,birmingham-service-administrator-jobs
include,teaching-vacancies-administrative-assistant-grade-2-term-time-only,Administrative Assistant (Grade 2) - Term Time Only,Yorkswood Primary School,Birmingham,Teaching Vacancies,include,include,Approved conservative Birmingham launch catchment.,birmingham,birmingham-service-administrator-jobs
include,teaching-vacancies-administrator-29a3a1df-9a3b-43db-97ba-8e6497b99ca1,Administrator,E-ACT Shenley Academy,Birmingham,Teaching Vacancies,include,include,Approved conservative Birmingham launch catchment.,birmingham,birmingham-service-administrator-jobs
include,nhs-5501562,Administrator - Birmingham,Vaccination UK,"Birmingham, B18 7EE",NHS Jobs,include,include,Approved conservative Birmingham launch catchment.,birmingham,birmingham-service-administrator-jobs
include,teaching-vacancies-administrator-receptionist-john-henry-newman-catholic-college,Administrator / Receptionist,John Henry Newman Catholic College,Birmingham,Teaching Vacancies,include,include,Approved conservative Birmingham launch catchment.,birmingham,birmingham-service-administrator-jobs
include,teaching-vacancies-attendance-officer-4efd19d4-57e0-4ca7-b2db-17e1d24f0087,Attendance Officer,Prince Albert Junior and Infant School,Birmingham,Teaching Vacancies,include,include,Approved conservative Birmingham launch catchment.,birmingham,birmingham-service-administrator-jobs
include,jobg8-23643_225446479,Bookings Coordinator,Office Angels - Agency - Permanent,Birmingham,JobG8,include,include,Approved conservative Birmingham launch catchment.,birmingham,birmingham-service-administrator-jobs
include,jobg8-23643_225521012,Business Support Officer,Sellick Partnership - Agency - Contract,Birmingham,JobG8,include,include,Approved conservative Birmingham launch catchment.,birmingham,birmingham-service-administrator-jobs
include,jobg8-23643_225543172,Care Coordinator - Full Time / Part Time,Watra Care - Agency - Permanent,Birmingham,JobG8,include,include,Approved conservative Birmingham launch catchment.,birmingham,birmingham-service-administrator-jobs
include,jobg8-23643_225465498,Customer Care Administrator,SF Partners - Agency - Permanent,Birmingham,JobG8,include,include,Approved conservative Birmingham launch catchment.,birmingham,birmingham-service-administrator-jobs
include,jobg8-23643_225498962,Customer Service Administrator,SF Partners - Agency - Permanent,Birmingham,JobG8,include,include,Approved conservative Birmingham launch catchment.,birmingham,birmingham-service-administrator-jobs
include,jobg8-23643_225537904,Finance Assistant,Gleeson Recruitment Group - Agency - Permanent,Birmingham,JobG8,include,include,Approved conservative Birmingham launch catchment.,birmingham,birmingham-service-administrator-jobs
include,jobg8-23643_225473913,HR Assistant,Gleeson Recruitment Group - Agency - Permanent,Birmingham,JobG8,include,include,Approved conservative Birmingham launch catchment.,birmingham,birmingham-service-administrator-jobs
include,jobg8-23643_225518765,Office Administrator,Alliance Personnel - Agency - Permanent,Birmingham,JobG8,include,include,Approved conservative Birmingham launch catchment.,birmingham,birmingham-service-administrator-jobs
include,jobg8-23643_225493038,Office Administrator,ST Selection - Agency - Permanent,Birmingham,JobG8,include,include,Approved conservative Birmingham launch catchment.,birmingham,birmingham-service-administrator-jobs
include,nhs-5557628,Receptionist/Administrator,The Wand Medical Centre,"Birmingham, B12 0UF",NHS Jobs,include,include,Approved conservative Birmingham launch catchment.,birmingham,birmingham-service-administrator-jobs
include,jobg8-23643_225446183,Recruitment Administrator,Office Angels - Agency - Permanent,Birmingham,JobG8,include,include,Approved conservative Birmingham launch catchment.,birmingham,birmingham-service-administrator-jobs
include,jobg8-23643_225445846,Recruitment Coordinator,Office Angels - Agency - Permanent,Birmingham,JobG8,include,include,Approved conservative Birmingham launch catchment.,birmingham,birmingham-service-administrator-jobs
include,teaching-vacancies-school-administrator-90712575-ad48-4a39-98c3-9140ef281e9e,School Administrator,Highfield Junior and Infant School,Birmingham,Teaching Vacancies,include,include,Approved conservative Birmingham launch catchment.,birmingham,birmingham-service-administrator-jobs
include,teaching-vacancies-school-administrator-receptionist-ark-boulton-academy,School Administrator/Receptionist,Ark Boulton Academy,Birmingham,Teaching Vacancies,include,include,Approved conservative Birmingham launch catchment.,birmingham,birmingham-service-administrator-jobs
include,teaching-vacancies-senior-administrator-hr-maternity-cover,SENIOR ADMINISTRATOR (HR) (Maternity Cover),Yardleys School,Birmingham,Teaching Vacancies,include,include,Approved conservative Birmingham launch catchment.,birmingham,birmingham-service-administrator-jobs
review,jobg8-23643_225507846,Motor Trade Sales Administrator,Brellis Recruitment - Agency - Permanent,Chelmsley Wood,JobG8,review,review,No approved Birmingham catchment rule matched; local review required.,fallback,birmingham-service-administrator-jobs
review,nhs-5566975,Receptionist - Bank,Avery Healthcare Group Ltd.,"Knowle, B93 9LQ",NHS Jobs,review,review,No approved Birmingham catchment rule matched; local review required.,fallback,birmingham-service-administrator-jobs
review,jobg8-23643_225317543,Sales Administrator,Plum Personnel - Agency - Permanent,Shirley,JobG8,review,review,No approved Birmingham catchment rule matched; local review required.,fallback,birmingham-service-administrator-jobs
exclude,jobg8-1800761,Database Administrator,The Curve Group - Agency - Permanent,Solihull,JobG8,exclude,exclude,Separate exact-city market at launch.,solihull,birmingham-service-administrator-jobs
exclude,nhs-5530420,Receptionist,Tanworth in Arden Medical Practice,"Solihull, B94 5DY",NHS Jobs,exclude,exclude,Separate exact-city market at launch.,solihull,birmingham-service-administrator-jobs
