decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
include,jobg8-1877352,PPC Executive (Dutch Speaking),THE CHANNEL RECRUITER LTD - Agency - Permanent,Hemel Hempstead,JobG8,include,include,Exact approved Hemel Hempstead workplace.,exact:hemel hempstead,hemel-hempstead-service-administrator-jobs
review,jobg8-1905967,Accounts Assistant,Pinpoint Resourcing Ltd - Agency - Permanent,Hertfordshire,JobG8,review,review,No exact Hemel Hempstead workplace matched; local geographic review is required.,fallback,hemel-hempstead-service-administrator-jobs
review,jobg8-2021393,Accounts Assistant,TRP Recruitment Limited - Agency - Permanent,Hertfordshire,JobG8,review,review,No exact Hemel Hempstead workplace matched; local geographic review is required.,fallback,hemel-hempstead-service-administrator-jobs
review,jobg8-1908048,Accounts Payable,Accountancy Action - Agency - Permanent,Hertfordshire,JobG8,review,review,No exact Hemel Hempstead workplace matched; local geographic review is required.,fallback,hemel-hempstead-service-administrator-jobs
review,jobg8-1879713,Accounts Payable Assistant,STORMX RECRUITMENT LIMITED - Agency - Permanent,Letchworth Garden City,JobG8,review,review,No exact Hemel Hempstead workplace matched; local geographic review is required.,fallback,hemel-hempstead-service-administrator-jobs
review,jobg8-1940498,Accounts Receivable Associate,Reed - Agency - Permanent,Hertfordshire,JobG8,review,review,No exact Hemel Hempstead workplace matched; local geographic review is required.,fallback,hemel-hempstead-service-administrator-jobs
review,jobg8-1928091,Accounts/Finance Administrator,Adecco - Agency - Permanent,Hertfordshire,JobG8,review,review,No exact Hemel Hempstead workplace matched; local geographic review is required.,fallback,hemel-hempstead-service-administrator-jobs
review,nhs-5439405,Administrator - Hertfordshire,Vaccination UK,"Welwyn Garden City, AL71HH",NHS Jobs,review,review,No exact Hemel Hempstead workplace matched; local geographic review is required.,fallback,hemel-hempstead-service-administrator-jobs
review,jobg8-1895594,Assistant Accountant,Elevate Search Ltd - Agency - Permanent,Hertford,JobG8,review,review,No exact Hemel Hempstead workplace matched; local geographic review is required.,fallback,hemel-hempstead-service-administrator-jobs
review,jobg8-1898017,Assistant Management Accountant,Reed - Agency - Permanent,Hertfordshire,JobG8,review,review,No exact Hemel Hempstead workplace matched; local geographic review is required.,fallback,hemel-hempstead-service-administrator-jobs
