decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
include,teaching-vacancies-business-support-officer-8b441777-7da2-48ad-9c51-0f5af614ff49,Business Support Officer,All Saints Catholic College,Huddersfield,Teaching Vacancies,include,include,Approved Huddersfield catchment.,huddersfield,huddersfield-service-administrator-jobs
include,teaching-vacancies-business-support-officer-attendance-3ce0d54f-db0c-49af-b00c-ddcf690bf636,Business Support Officer - Attendance,All Saints Catholic College,Huddersfield,Teaching Vacancies,include,include,Approved Huddersfield catchment.,huddersfield,huddersfield-service-administrator-jobs
include,teaching-vacancies-business-support-officer-student-services-a6b016b2-0cf8-4c1f-9ae0-103ce7f8ce62,Business Support Officer - Student Services,All Saints Catholic College,Huddersfield,Teaching Vacancies,include,include,Approved Huddersfield catchment.,huddersfield,huddersfield-service-administrator-jobs
include,jobg8-23643_225463726,Receptionist / Dental,Edgerton Dental Clinic - Agency - Permanent,Huddersfield,JobG8,include,include,Approved Huddersfield catchment.,huddersfield,huddersfield-service-administrator-jobs
review,teaching-vacancies-academy-administrator-l3-dixons-cottingley-academy,Academy Administrator L3,Dixons Cottingley Academy,Bingley,Teaching Vacancies,review,review,No approved Huddersfield catchment rule matched; local review required.,fallback,huddersfield-service-administrator-jobs
review,jobg8-23643_225472240,Accounts Assistant,Hays Senior Finance - Agency - Permanent,Brighouse,JobG8,review,review,No approved Huddersfield catchment rule matched; local review required.,fallback,huddersfield-service-administrator-jobs
review,jobg8-23643_225458763,Administrator,Moulds Accountants & Advisory Services - Agency - Permanent,Wetherby,JobG8,review,review,No approved Huddersfield catchment rule matched; local review required.,fallback,huddersfield-service-administrator-jobs
review,nhs-5534882,Administrator/Secretary,Hillfoot Surgery,"Pudsey, LS28 7QR",NHS Jobs,review,review,No approved Huddersfield catchment rule matched; local review required.,fallback,huddersfield-service-administrator-jobs
review,teaching-vacancies-data-officer-2291e2c5-eec2-437c-a38c-78271e026f45,Data Officer,De Lacy Academy,Knottingley,Teaching Vacancies,review,review,No approved Huddersfield catchment rule matched; local review required.,fallback,huddersfield-service-administrator-jobs
review,teaching-vacancies-exams-officer-bingley-grammar-school,Exams Officer,Bingley Grammar School,Bingley,Teaching Vacancies,review,review,No approved Huddersfield catchment rule matched; local review required.,fallback,huddersfield-service-administrator-jobs
