decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
include,jobg8-1766251,Accounts Assistant,Reed - Agency - Permanent,Liverpool,JobG8,include,include,Approved conservative Liverpool launch catchment.,liverpool,liverpool-service-administrator-jobs
include,teaching-vacancies-administration-assistant-the-beacon-church-of-england-primary-school,Administration Assistant,The Beacon Church of England Primary School,Liverpool,Teaching Vacancies,include,include,Approved conservative Liverpool launch catchment.,liverpool,liverpool-service-administrator-jobs
include,jobg8-107894134,Administrator - Contracts,Rathbones Group Plc - Agency - Temporary,Liverpool,JobG8,include,include,Approved conservative Liverpool launch catchment.,liverpool,liverpool-service-administrator-jobs
include,jobg8-23643_225428643,Business Support Co-ordinator,Recruitment Services UK - Agency - Permanent,Liverpool,JobG8,include,include,Approved conservative Liverpool launch catchment.,liverpool,liverpool-service-administrator-jobs
include,nhs-5558829,Clerical Officer,Liverpool University Hospitals NHS Foundation Trust,"Liverpool, L7 8XP",NHS Jobs,include,include,Approved conservative Liverpool launch catchment.,liverpool,liverpool-service-administrator-jobs
include,jobg8-1798035,Customer Service Advisor - Remote work uk,Coaching & Recruitment - Agency - Permanent,Liverpool,JobG8,include,include,Approved conservative Liverpool launch catchment.,liverpool,liverpool-service-administrator-jobs
include,jobg8-23643_225524310,Events Administrator,Adecco - Agency - Temporary,Liverpool,JobG8,include,include,Approved conservative Liverpool launch catchment.,liverpool,liverpool-service-administrator-jobs
include,jobg8-1770074,Facilities Administrator,Reed - Agency - Permanent,Liverpool,JobG8,include,include,Approved conservative Liverpool launch catchment.,liverpool,liverpool-service-administrator-jobs
include,jobg8-107729667,Facilities Contract Administrator,Alex Young Recruitment Ltd - Agency - Permanent,Liverpool,JobG8,include,include,Approved conservative Liverpool launch catchment.,liverpool,liverpool-service-administrator-jobs
include,jobg8-23643_225469002,German Speaking Customer Service Administrator,Search Consultancy Ltd - Agency - Permanent,Liverpool,JobG8,include,include,Approved conservative Liverpool launch catchment.,liverpool,liverpool-service-administrator-jobs
include,jobg8-1780172,Motor Claims Handler,Keoghs LLP - Agency - Permanent,Liverpool,JobG8,include,include,Approved conservative Liverpool launch catchment.,liverpool,liverpool-service-administrator-jobs
include,jobg8-23643_225476291,Part Time Receptionist,Adecco - Agency - Temporary,Liverpool,JobG8,include,include,Approved conservative Liverpool launch catchment.,liverpool,liverpool-service-administrator-jobs
include,teaching-vacancies-receptionist-king-s-leadership-academy-wavertree-liverpool,Receptionist,King's Leadership Academy Wavertree,Liverpool,Teaching Vacancies,include,include,Approved conservative Liverpool launch catchment.,liverpool,liverpool-service-administrator-jobs
include,nhs-5559589,Receptionist/Administration Assistant,Mersey Care NHS Foundation Trust,"Liverpool, L34 1PJ",NHS Jobs,include,include,Approved conservative Liverpool launch catchment.,liverpool,liverpool-service-administrator-jobs
include,nhs-5565709,Receptionist/Administrator,SSP Health,"Liverpool, L9 8BU",NHS Jobs,include,include,Approved conservative Liverpool launch catchment.,liverpool,liverpool-service-administrator-jobs
include,jobg8-1786775,Service Desk Analyst,VIQU IT Recruitment - Agency - Permanent,Liverpool,JobG8,include,include,Approved conservative Liverpool launch catchment.,liverpool,liverpool-service-administrator-jobs
