decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
include,vonne-173252,Accreditation and Outreach Officer,The Young Women's Film Academy,Newcastle / Regionwide,VONNE,include,include,The stated workplace is Newcastle or explicitly includes Newcastle.,newcastle,newcastle-service-administrator
include,nejobs-300057,Administrative Assistant,Newcastle City Council,Newcastle Upon Tyne,NEJobs,include,include,The stated workplace is Newcastle or explicitly includes Newcastle.,newcastle,newcastle-service-administrator
include,nejobs-297597,Business Support Assistant,North Tyneside Council,North Tyneside,NEJobs,include,include,North Tyneside is within the normal Newcastle employment and commuting catchment.,north tyneside,newcastle-service-administrator
include,nejobs-300058,"Business Support Officer, 32hpw",South Tyneside Council,South Tyneside Council,NEJobs,review,include,No Newcastle catchment rule matched the stated location; local geographic review is required.,fallback,newcastle-service-administrator
include,nejobs-299761,DBS01116/26 - Admin Assistant - Hazlewood Community Primary School,North Tyneside Council,"Hazlewood Community Primary School, Canterbury Way, Wideopen, Newcastle upon Tyne",NEJobs,include,include,The stated workplace is Newcastle or explicitly includes Newcastle.,newcastle,newcastle-service-administrator
include,vonne-173262,Family Learning Coordinator (9 Months Fixed Term),Children North East,Newcastle,VONNE,include,include,The stated workplace is Newcastle or explicitly includes Newcastle.,newcastle,newcastle-service-administrator
include,jobg8-eafa8287-56b3-4ecd-a9bc-8fb95aa554c4,Office Coordinator,FRP Group,Newcastle Upon Tyne,JobG8,include,include,The stated workplace is Newcastle or explicitly includes Newcastle.,newcastle,newcastle-service-administrator
include,vonne-173270,Project Lead,People's Powerhouse,North East (hybrid),VONNE,review,include,The broad North East location needs evidence that Newcastle residents are within the intended workplace area.,north east,newcastle-service-administrator
include,nejobs-299953,Receptionist & Administrator (HR / School),Talbot House Children's Charity,Newcastle upon Tyne,NEJobs,include,include,The stated workplace is Newcastle or explicitly includes Newcastle.,newcastle,newcastle-service-administrator
include,jobg8-74b2edbd-f145-42de-bca5-93f37ec0bca2,Recruitment Administrator,Pertemps Scotland Temps,Newcastle Upon Tyne,JobG8,include,include,The stated workplace is Newcastle or explicitly includes Newcastle.,newcastle,newcastle-service-administrator
include,vonne-173267,School Family Coordinator,Children North East,Newcastle,VONNE,include,include,The stated workplace is Newcastle or explicitly includes Newcastle.,newcastle,newcastle-service-administrator
include,jobg8-fc295d6b-6c54-413b-8ca1-0bef809a8273,Trainee Office Coordinator,FRP Group,Newcastle Upon Tyne,JobG8,include,include,The stated workplace is Newcastle or explicitly includes Newcastle.,newcastle,newcastle-service-administrator
exclude,nejobs-300098,Administration Assistant,Bishop Bewick Catholic Education Trust,"St Benet Biscop Catholic Academy, Ridge Terrace, Bedlington, NE22 6ED",NEJobs,exclude,exclude,Bedlington is outside the agreed Newcastle city-page catchment.,bedlington,newcastle-service-administrator
exclude,nejobs-299480,Administration Assistant,Durham County Council,"Meadowfield Depot, Durham (hybrid working options available)",NEJobs,exclude,exclude,Durham belongs to a separate employment area from the Newcastle city page.,durham,newcastle-service-administrator
exclude,nejobs-299277,Administrative Assistant,Durham County Council,Sacriston,NEJobs,exclude,exclude,Durham belongs to a separate employment area from the Newcastle city page.,context:durham,newcastle-service-administrator
exclude,nejobs-300179,Business Support Assistant - Children's Social Care,Together for Children - Sunderland,Sunderland,NEJobs,exclude,exclude,Sunderland belongs to a separate employment area from the Newcastle city page.,sunderland,newcastle-service-administrator
exclude,nejobs-299898,Business Support Officer (Level 1),Darlington Borough Council,Town Hall,NEJobs,exclude,exclude,Darlington belongs to a separate employment area from the Newcastle city page.,context:darlington,newcastle-service-administrator
exclude,nejobs-299796,Customer Service Advisor,Hartlepool Borough Council,Highlight Active Wellbeing Hub,NEJobs,exclude,exclude,Hartlepool is outside the Newcastle city-page catchment.,context:hartlepool,newcastle-service-administrator
exclude,nejobs-300044,Events Assistant,Darlington Borough Council,Darlington Borough Council,NEJobs,exclude,exclude,Darlington belongs to a separate employment area from the Newcastle city page.,darlington,newcastle-service-administrator
exclude,jobg8-107759868,Housing Management Coordinator,Home Group Limited,Sunderland,JobG8,exclude,exclude,Sunderland belongs to a separate employment area from the Newcastle city page.,sunderland,newcastle-service-administrator
exclude,nejobs-299718,Receptionist and Events Co-ordinator at the Sjovoll Centre,Framwellgate School Durham,Framwellgate School Durham,NEJobs,exclude,exclude,Durham belongs to a separate employment area from the Newcastle city page.,durham,newcastle-service-administrator
exclude,vonne-173253,VCSE Health & Wellbeing Research Partnerships Coordinator (Maternity Cover),VONNE,Tyne and Wear,VONNE,review,exclude,"The broad Tyne and Wear location includes Newcastle, but the vacancy is not specifically Newcastle-located.",tyne and wear,newcastle-service-administrator
