decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
include,vonne-173252,Accreditation and Outreach Officer,The Young Women's Film Academy,Newcastle / Regionwide,VONNE,include,include,The stated workplace is Newcastle or explicitly includes Newcastle.,newcastle,newcastle-service-administrator
include,jobg8-ee7d7ed3-ca3e-4a0b-b7b1-dee607fdb33a,Administrator,Consula Group LTD - Agency - Permanent,Newcastle,JobG8,include,include,The stated workplace is Newcastle or explicitly includes Newcastle.,newcastle,newcastle-service-administrator
include,nejobs-300058,"Business Support Officer, 32hpw",South Tyneside Council,South Tyneside Council,NEJobs,review,include,No Newcastle catchment rule matched the stated location; local geographic review is required.,fallback,newcastle-service-administrator
include,jobg8-37de4be2-0a53-41c1-9b2c-dca52159ab6e,Client Administrator,IDEX Consulting Ltd - Agency - Permanent,Newcastle Upon Tyne,JobG8,include,include,The stated workplace is Newcastle or explicitly includes Newcastle.,newcastle,newcastle-service-administrator
include,jobg8-da318476-2716-4dc4-96fa-7984b2a0a789,Customer Account Administrator - Temp to Perm - Gateshead,Office Angels - Agency - Permanent,Gateshead,JobG8,include,include,Gateshead forms part of the continuous Newcastle urban employment area.,gateshead,newcastle-service-administrator
include,nejobs-299761,DBS01116/26 - Admin Assistant - Hazlewood Community Primary School,North Tyneside Council,"Hazlewood Community Primary School, Canterbury Way, Wideopen, Newcastle upon Tyne",NEJobs,include,include,The stated workplace is Newcastle or explicitly includes Newcastle.,newcastle,newcastle-service-administrator
include,vonne-173262,Family Learning Coordinator (9 Months Fixed Term),Children North East,Newcastle,VONNE,include,include,The stated workplace is Newcastle or explicitly includes Newcastle.,newcastle,newcastle-service-administrator
include,jobg8-eafa8287-56b3-4ecd-a9bc-8fb95aa554c4,Office Coordinator,FRP Group - Company - Permanent,Newcastle Upon Tyne,JobG8,include,include,The stated workplace is Newcastle or explicitly includes Newcastle.,newcastle,newcastle-service-administrator
include,jobg8-ce8acedc-578a-43b6-8458-482944e0ad7e,Order Processing Administrator - Temp to Perm,Office Angels - Agency - Permanent,Gateshead,JobG8,include,include,Gateshead forms part of the continuous Newcastle urban employment area.,gateshead,newcastle-service-administrator
include,vonne-173270,Project Lead,People's Powerhouse,North East (hybrid),VONNE,review,include,The broad North East location needs evidence that Newcastle residents are within the intended workplace area.,north east,newcastle-service-administrator
include,vonne-173267,School Family Coordinator,Children North East,Newcastle,VONNE,include,include,The stated workplace is Newcastle or explicitly includes Newcastle.,newcastle,newcastle-service-administrator
include,jobg8-fc295d6b-6c54-413b-8ca1-0bef809a8273,Trainee Office Coordinator,FRP Group - Company - Permanent,Newcastle Upon Tyne,JobG8,include,include,The stated workplace is Newcastle or explicitly includes Newcastle.,newcastle,newcastle-service-administrator
review,jobg8-f6d1d055-8d92-44b3-b35c-4d2999b309ab,Call Centre/Admin Assistant,Specsavers - Company - Permanent,Alnwick,JobG8,review,review,No Newcastle catchment rule matched the stated location; local geographic review is required.,fallback,newcastle-service-administrator
review,jobg8-e7a9b51c-2698-4fde-9c96-5700106868e5,Purchasing Administrator,MTrec Recruitment - Agency - Temporary,Cramlington,JobG8,review,review,No Newcastle catchment rule matched the stated location; local geographic review is required.,fallback,newcastle-service-administrator
review,jobg8-40e191c1-6a98-48eb-91b0-6d618aad7c84,Temporary Administrator - South Tyneside,Office Angels - Agency - Temporary,Tyne And Wear,JobG8,review,review,"The broad Tyne and Wear location includes Newcastle, but the vacancy is not specifically Newcastle-located.",tyne and wear,newcastle-service-administrator
exclude,nejobs-300098,Administration Assistant,Bishop Bewick Catholic Education Trust,"St Benet Biscop Catholic Academy, Ridge Terrace, Bedlington, NE22 6ED",NEJobs,exclude,exclude,Bedlington is outside the agreed Newcastle city-page catchment.,bedlington,newcastle-service-administrator
exclude,teaching-vacancies-administration-assistant-4f59cafb-d423-4db3-83d0-1ade9b792f9e,Administration Assistant,St Benet Biscop Catholic Academy,Bedlington,Teaching Vacancies,exclude,exclude,Bedlington is outside the agreed Newcastle city-page catchment.,bedlington,newcastle-service-administrator
exclude,nejobs-299277,Administrative Assistant,Durham County Council,Sacriston,NEJobs,exclude,exclude,Durham belongs to a separate employment area from the Newcastle city page.,context:durham,newcastle-service-administrator
exclude,nejobs-299796,Customer Service Advisor,Hartlepool Borough Council,Highlight Active Wellbeing Hub,NEJobs,exclude,exclude,Hartlepool is outside the Newcastle city-page catchment.,context:hartlepool,newcastle-service-administrator
exclude,nejobs-300044,Events Assistant,Darlington Borough Council,Darlington Borough Council,NEJobs,exclude,exclude,Darlington belongs to a separate employment area from the Newcastle city page.,darlington,newcastle-service-administrator
exclude,jobg8-646b596c-525f-4641-9329-03f131b59e32,Sales Support Administrator,IMPRESSION RECRUITMENT LIMITED - Agency - Permanent,Darlington,JobG8,exclude,exclude,Darlington belongs to a separate employment area from the Newcastle city page.,darlington,newcastle-service-administrator
exclude,jobg8-e12fcfe3-076c-47be-a30c-227026a13277,Temporary Administrator,IMPRESSION RECRUITMENT LIMITED - Agency - Temporary,Darlington,JobG8,exclude,exclude,Darlington belongs to a separate employment area from the Newcastle city page.,darlington,newcastle-service-administrator
exclude,vonne-173253,VCSE Health & Wellbeing Research Partnerships Coordinator (Maternity Cover),VONNE,Tyne and Wear,VONNE,review,exclude,"The broad Tyne and Wear location includes Newcastle, but the vacancy is not specifically Newcastle-located.",tyne and wear,newcastle-service-administrator
