decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
include,jobg8-107909020,Assessment Administration Coordinator,Advance HE - Agency - Permanent,York,JobG8,include,include,Approved York catchment.,york,york-service-administrator-jobs
include,jobg8-23643_225543992,Assessment Administration Coordinator,Advance HE - Agency - Permanent,York,JobG8,include,include,Approved York catchment.,york,york-service-administrator-jobs
include,jobg8-107840612,"Design, Artwork & Social Media Co-ordinator",KD Recruitment Limited - Agency - Permanent,York,JobG8,include,include,Approved York catchment.,york,york-service-administrator-jobs
include,jobg8-107804499,Sales and Marketing Coordinator,KD Recruitment Limited - Agency - Permanent,York,JobG8,include,include,Approved York catchment.,york,york-service-administrator-jobs
include,jobg8-107836541,Service Advisor - Ford,Stoneacre Motor Group. - Company - Permanent,York,JobG8,include,include,Approved York catchment.,york,york-service-administrator-jobs
include,nhs-5550198,Team Administrator,Tees Esk and Wear Valleys NHS Foundation Trust,"York, YO31 7DE",NHS Jobs,include,include,Approved York catchment.,york,york-service-administrator-jobs
review,jobg8-23643_225544656,HR Administrator,Unity Resourcing Ltd - Agency - Permanent,Knaresborough,JobG8,review,review,No approved York catchment rule matched; local review required.,fallback,york-service-administrator-jobs
review,jobg8-107871574,Lifestyle Co-ordinator,Care UK - Company - Permanent,Whitby,JobG8,review,review,No approved York catchment rule matched; local review required.,fallback,york-service-administrator-jobs
review,jobg8-1778958,Office Administrator,ianson - Agency - Permanent,Ripon,JobG8,review,review,No approved York catchment rule matched; local review required.,fallback,york-service-administrator-jobs
review,jobg8-23643_225480415,Office Administrator,KD Recruitment - Agency - Permanent,Pickering,JobG8,review,review,No approved York catchment rule matched; local review required.,fallback,york-service-administrator-jobs
review,nhs-5533330,Part-time Receptionist,The Paradise Road Practice,"Richmond, TW9 1SA",NHS Jobs,review,review,No approved York catchment rule matched; local review required.,fallback,york-service-administrator-jobs
review,teaching-vacancies-school-office-administrator-askwith-primary-school,School Office Administrator,Askwith Primary School,Otley,Teaching Vacancies,review,review,No approved York catchment rule matched; local review required.,fallback,york-service-administrator-jobs
exclude,jobg8-107905972,Administrator,SI Recruitment - Agency - Permanent,Northallerton,JobG8,exclude,exclude,Separate employment market.,northallerton,york-service-administrator-jobs
exclude,nhs-5564613,Administrator,Tees Esk and Wear Valleys NHS Foundation Trust,"Scarborough, North Yorkshire, YO11 3EG",NHS Jobs,exclude,exclude,Broad county/region label; not York-city evidence.,north yorkshire,york-service-administrator-jobs
exclude,nhs-5565624,Administrator - Receptionist,Tees Esk and Wear Valleys NHS Foundation Trust,"Scarborough, YO11 3TU",NHS Jobs,exclude,exclude,Separate employment market.,scarborough,york-service-administrator-jobs
exclude,teaching-vacancies-apprentice-administrator-braeburn-primary-and-nursery-academy,Apprentice Administrator,Braeburn Primary and Nursery Academy,Scarborough,Teaching Vacancies,exclude,exclude,Separate employment market.,scarborough,york-service-administrator-jobs
exclude,jobg8-107893393,Distribution Coordinator,MTrec Technical - Agency - Permanent,Northallerton,JobG8,exclude,exclude,Separate employment market.,northallerton,york-service-administrator-jobs
exclude,jobg8-107893306,Distribution Coordinator,SI Recruitment - Agency - Permanent,Northallerton,JobG8,exclude,exclude,Separate employment market.,northallerton,york-service-administrator-jobs
exclude,jobg8-23643_225477133,Finance Assistant,IPS Finance - Agency - Permanent,Harrogate,JobG8,exclude,exclude,Separate employment market.,harrogate,york-service-administrator-jobs
exclude,teaching-vacancies-senior-administrator-braeburn-primary-and-nursery-academy-scarborough-north-yorkshire,Senior Administrator,Braeburn Primary and Nursery Academy,Scarborough,Teaching Vacancies,exclude,exclude,Separate employment market.,scarborough,york-service-administrator-jobs
exclude,jobg8-23643_225472878,Training and Recruitment administrator,Ashley Kate HR & Finance - Agency - Permanent,Harrogate,JobG8,exclude,exclude,Separate employment market.,harrogate,york-service-administrator-jobs
