decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
include,jobg8-1838771,Audit & Accounts Assistant,Reed - Agency - Permanent,Poole,JobG8,include,include,Exact approved Poole workplace.,exact:poole,poole-service-administrator-jobs
review,jobg8-1838779,Accounts Assistant,Reed - Agency - Permanent,Dorset,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-1840045,Accounts Assistant,Robert Walters - Agency - Permanent,Verwood,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-1937845,Accounts Assistant,Rubicon Recruitment - Agency - Permanent,Dorset,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-1877445,Accounts Assistant Verwood Temporary,Office Angels - Agency - Permanent,Verwood,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,nhs-5596490,Administrator,Regent's Park Healthcare,"Bournemouth, BH7 7DW",NHS Jobs,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,teaching-vacancies-administrator-sixth-form-study-centre-3a398641-1a04-436d-8d95-d6c3dd1d9ae1,Administrator (Sixth Form Study Centre),Bournemouth School,Bournemouth,Teaching Vacancies,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-107865251,Care Coordinator,Agincare Group - Agency - Permanent,Dorset,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-1839332,Claims Handler,Adjusting Appointments Limited - Agency - Permanent,Dorset,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-1839335,Claims Handler,Adjusting Appointments Limited - Agency - Permanent,Dorset,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-1860803,Claims Handler - Home / Motor / Insurance - Remote,MYO Talent - Agency - Permanent,Dorset,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-1898309,Finance Assistant,Adecco - Agency - Permanent,Dorset,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-1867894,Finance Assistant,CMA Recruitment Group - Agency - Permanent,Dorset,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-1868450,HR Administrator,Hays Specialist Recruitment Limited - Agency - Permanent,Dorset,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-23643_225514947,Purchasing & Product Administrator,Team Jobs - Commercial - Agency - Permanent,Bournemouth,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,nhs-5596760,Receptionist/Administrator,Dorset HealthCare University NHS Foundation Trust,"Sherborne, DT93JU",NHS Jobs,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,nhs-5600939,Receptionist/Administrator,South Coast Medical Group,"Christchurch, BH23 2FQ",NHS Jobs,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-107765584,Trust Administrator,Aspire Jobs Limited - Agency - Permanent,Beaminster,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
