decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
review,jobg8-1937845,Accounts Assistant,Rubicon Recruitment - Agency - Permanent,Dorset,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-1877445,Accounts Assistant Verwood Temporary,Office Angels - Agency - Permanent,Verwood,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-107992811,Activities Coordinator,Agincare Group - Agency - Permanent,Weymouth,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-107965514,Activities Coordinator,Care Concern Group - Company - Permanent,Dorset,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,nhs-5596490,Administrator,Regent's Park Healthcare,"Bournemouth, BH7 7DW",NHS Jobs,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-107940079,Care Coordinator,Agincare Group - Agency - Permanent,Dorset,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-1860803,Claims Handler - Home / Motor / Insurance - Remote,MYO Talent - Agency - Permanent,Dorset,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-1898309,Finance Assistant,Adecco - Agency - Permanent,Dorset,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-1867894,Finance Assistant,CMA Recruitment Group - Agency - Permanent,Dorset,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-1868450,HR Administrator,Hays Specialist Recruitment Limited - Agency - Permanent,Dorset,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-1957010,HR Administrator,Resource Recruitment - Agency - Permanent,Ferndown,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,teaching-vacancies-pa-to-leadership-team-b8e78b62-3fce-486c-bfe4-ebd07a02857c,PA to Leadership Team,The Bishop of Winchester Academy,Bournemouth,Teaching Vacancies,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-107989969,Placement Coordinator - Construction,Bournemouth and Poole College - Agency - Contract,Dorset,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,nhs-5596760,Receptionist/Administrator,Dorset HealthCare University NHS Foundation Trust,"Sherborne, DT93JU",NHS Jobs,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,nhs-5600939,Receptionist/Administrator,South Coast Medical Group,"Christchurch, BH23 2FQ",NHS Jobs,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-107765584,Trust Administrator,Aspire Jobs Limited - Agency - Permanent,Beaminster,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
