decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
include,jobg8-1898195,Sales Ledger,Reed - Agency - Permanent,Poole,JobG8,include,include,Exact approved Poole workplace.,exact:poole,poole-service-administrator-jobs
review,jobg8-1937845,Accounts Assistant,Rubicon Recruitment - Agency - Permanent,Dorset,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-1877445,Accounts Assistant Verwood Temporary,Office Angels - Agency - Permanent,Verwood,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-1898268,Accounts Receivable,Talent Finance Ltd - Agency - Permanent,Dorset,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-107992811,Activities Coordinator,Agincare Group - Agency - Permanent,Weymouth,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,nhs-5596490,Administrator,Regent's Park Healthcare,"Bournemouth, BH7 7DW",NHS Jobs,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-1867646,Assistant Management Accountant,CMA Recruitment Group - Agency - Permanent,Dorset,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-1893830,Bookkeeping & Accounts Clerk,Reed - Agency - Permanent,Dorset,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-1885467,Conveyancing Legal Assistant,360 Recruitment - Agency - Permanent,Wimborne,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-1898297,Credit Controller,Talent Finance Ltd - Agency - Permanent,Dorset,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-1891550,Credit Controller - 6 month contract,Talent Finance Ltd - Agency - Permanent,Dorset,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-1898309,Finance Assistant,Adecco - Agency - Permanent,Dorset,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-1867894,Finance Assistant,CMA Recruitment Group - Agency - Permanent,Dorset,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-2013522,Finance Assistant,Reed - Agency - Permanent,Dorset,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-1957010,HR Administrator,Resource Recruitment - Agency - Permanent,Ferndown,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-1865412,Payroll Administrator,Reed - Agency - Permanent,Dorset,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-1865413,Payroll Administrator,Reed - Agency - Permanent,Dorset,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-1896663,Payroll Officer,Sheridan Maine - Agency - Permanent,Dorset,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-23643_225635774,Purchasing Assistant,Rubicon Recruitment - Agency - Permanent,Dorset,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-23643_225649037,Purchasing Coordinator (MRP/Logistics),Ernest Gordon Recruitment Limited - Agency - Permanent,Dorset,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,nhs-5591331,Receptionist - Bank,Avery Healthcare Group Ltd.,"Bournemouth, BH4 9DR",NHS Jobs,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,nhs-5596760,Receptionist/Administrator,Dorset HealthCare University NHS Foundation Trust,"Sherborne, DT93JU",NHS Jobs,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,nhs-5600939,Receptionist/Administrator,South Coast Medical Group,"Christchurch, BH23 2FQ",NHS Jobs,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
review,jobg8-107765584,Trust Administrator,Aspire Jobs Limited - Agency - Permanent,Beaminster,JobG8,review,review,No exact Poole workplace matched; local geographic review is required.,fallback,poole-service-administrator-jobs
