decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
include,jobg8-107193862,Insurance Account Executive,Aspire Jobs Limited - Agency - Permanent,Southampton,JobG8,include,include,Approved Southampton catchment.,southampton,southampton-service-administrator-jobs
review,nhs-5591061,Administrator,Rowner Medical Centre,"Gosport, PO13 9SP",NHS Jobs,review,review,No approved Southampton catchment rule matched; local review required.,fallback,southampton-service-administrator-jobs
review,jobg8-107872412,Administrator Apprentice,Blake Morgan LLP - Agency - Contract,Hampshire,JobG8,review,review,Broad location; review before city inclusion.,hampshire,southampton-service-administrator-jobs
review,jobg8-107963757,Care Coordinator,Agincare Group - Agency - Permanent,Hampshire,JobG8,review,review,Broad location; review before city inclusion.,hampshire,southampton-service-administrator-jobs
review,teaching-vacancies-exams-officer-and-assessment-data-co-ordinator,Exams Officer and Assessment Data Co ordinator,Perins School,Alresford,Teaching Vacancies,review,review,No approved Southampton catchment rule matched; local review required.,fallback,southampton-service-administrator-jobs
review,jobg8-1885642,Finance Assistant,CMA Recruitment Group - Agency - Permanent,Hampshire,JobG8,review,review,Broad location; review before city inclusion.,hampshire,southampton-service-administrator-jobs
review,jobg8-1838784,Finance Assistant,Reed - Agency - Permanent,Hampshire,JobG8,review,review,Broad location; review before city inclusion.,hampshire,southampton-service-administrator-jobs
review,jobg8-1871498,HR Administrator,4Recruitment Services - Agency - Permanent,Lyndhurst,JobG8,review,review,No approved Southampton catchment rule matched; local review required.,fallback,southampton-service-administrator-jobs
review,jobg8-107605314,Lifestyle Coordinator,Care UK - Company - Permanent,Hampshire,JobG8,review,review,Broad location; review before city inclusion.,hampshire,southampton-service-administrator-jobs
review,jobg8-1898713,Receptionist / Administrator,The Society of St James - Agency - Permanent,Hampshire,JobG8,review,review,Broad location; review before city inclusion.,hampshire,southampton-service-administrator-jobs
review,jobg8-107959953,Service Coordinator,People First Recruitment - Agency - Permanent,Hampshire,JobG8,review,review,Broad location; review before city inclusion.,hampshire,southampton-service-administrator-jobs
exclude,nhs-5586737,Administrator,Inclusion,"Eastleigh, PO16 0NX",NHS Jobs,exclude,exclude,Separate employment market.,eastleigh,southampton-service-administrator-jobs
exclude,jobg8-1848405,HR coordinator,Hays Specialist Recruitment Limited - Agency - Permanent,Basingstoke,JobG8,exclude,exclude,Separate employment market.,basingstoke,southampton-service-administrator-jobs
exclude,jobg8-1842700,HR Coordinator,Randstad Delivery (GBS) - Agency - Permanent,Basingstoke,JobG8,exclude,exclude,Separate employment market.,basingstoke,southampton-service-administrator-jobs
exclude,jobg8-1885727,Lettings Administrator,Mulberry Recruitment - Agency - Permanent,Farnborough,JobG8,exclude,exclude,Separate employment market.,farnborough,southampton-service-administrator-jobs
exclude,nhs-5592877,Receptionist/Administrator,Operose Health,"Basingstoke, RG22 4EH",NHS Jobs,exclude,exclude,Separate employment market.,basingstoke,southampton-service-administrator-jobs
